ensembl_transcript_id_version,cds_length,percentage_gene_gc_content,gene
ENST00000304874.14,1395,54.28,ASL
ENST00000304880.2,936,50.32,OR1N1
ENST00000304883.3,1398,35.63,TACR3
ENST00000304895.9,1956,51.96,GUSB
ENST00000304916.4,933,50.65,LRATD2
ENST00000304920.3,609,52.71,IL17D
ENST00000304936.4,939,50.28,OR2C1
ENST00000304979.8,534,43.92,PPIH
ENST00000304987.4,2781,39.63,SIK2
ENST00000304992.11,7008,48.87,PRPF8
ENST00000305031.5,2649,35.96,CHSY3
ENST00000305046.13,1128,35.81,ADH1B
ENST00000305089.8,501,43.51,REG1B
ENST00000305097.6,1122,40.45,P2RY1
ENST00000305105.3,465,53.97,ZNHIT1
ENST00000305107.7,1587,36.28,UGT2B4
ENST00000305135.10,4269,42.59,YEATS2
ENST00000305139.11,1599,42.92,UGT1A6
ENST00000305141.5,1281,55.78,NMUR1
ENST00000305188.13,1806,37.71,ESCO2
ENST00000305231.12,1590,35.89,UGT2B7
ENST00000305233.6,1773,62.26,PWWP2B
ENST00000305242.10,3135,38.33,ODAD2
ENST00000305249.10,1224,40.29,TACR1
ENST00000305253.8,1686,49.4,TUB
ENST00000305264.8,1287,45.22,HDAC3
ENST00000305344.7,1098,38.43,HTR1E
ENST00000305354.5,609,41.63,TM4SF4
ENST00000305363.9,1272,36.69,TMPRSS11E
ENST00000305364.9,1482,45.62,TRIM35
ENST00000305366.8,609,37.6,TM4SF1
ENST00000305386.4,1344,47.52,MGAT2
ENST00000305409.3,1854,35.85,SCG2
ENST00000305444.2,939,48.14,OR7G3
ENST00000305454.8,624,45.3,VXN
ENST00000305476.10,2502,62.17,SEMA4C
ENST00000305479.3,282,43.89,WFDC13
ENST00000305494.6,1377,36.37,TMEM135
ENST00000305510.4,2124,52.84,CNNM3
ENST00000305513.12,2415,46.16,SMYD4
ENST00000305533.10,1050,57.04,TWF2
ENST00000305536.11,969,43.56,RBMX2
ENST00000305557.9,1653,53.87,RTKN
ENST00000305560.11,2262,41.46,AFG2B
ENST00000305579.7,762,43.12,IL12A
ENST00000305596.8,1026,57.83,CD2BP2
ENST00000305620.3,1590,52.82,KRT74
ENST00000305626.6,690,41.25,RAB33B
ENST00000305631.7,972,60.22,DEGS2
ENST00000305632.11,1344,52.18,TBL2
ENST00000305641.7,2061,46.02,LCMT2
ENST00000305738.10,381,44.78,PATE1
ENST00000305748.7,1623,52.12,KRT73
ENST00000305766.10,1665,40.02,PHACTR2
ENST00000305768.10,2352,45.48,CEP89
ENST00000305783.13,1308,38.09,RNFT1
ENST00000305784.7,639,51.06,DTYMK
ENST00000305798.8,807,41.92,TSPAN5
ENST00000305815.10,3534,37.23,SLC9C1
ENST00000305817.3,531,46.35,PRND
ENST00000305866.10,2895,34.82,VPS50
ENST00000305869.4,294,43.39,CCL11
ENST00000305877.13,3816,53.07,BCR
ENST00000305879.8,504,39.63,GTSF1
ENST00000305883.6,1539,50.79,KLF11
ENST00000305885.3,1143,48.87,FEN1
ENST00000305901.7,1398,46.01,ONECUT1
ENST00000305904.11,291,38.47,DYNLRB2
ENST00000305949.6,2715,35.31,MTBP
ENST00000305958.9,1668,49.87,SMOX
ENST00000305997.8,1563,40.14,MBOAT2
ENST00000306010.8,717,45.58,MGMT
ENST00000306024.4,309,41.16,LSM3
ENST00000306051.3,1080,43.93,PTGDR
ENST00000306052.12,2892,51.87,LRP8
ENST00000306061.10,186,57.57,MT1E
ENST00000306065.9,3153,48.98,ANKRD27
ENST00000306071.7,1506,51.91,CHRNB1
ENST00000306078.2,1311,42.34,KCNG3
ENST00000306085.11,2268,53.9,TRIM56
ENST00000306087.3,723,56.49,SOX14
ENST00000306100.10,2544,33.82,FSTL5
ENST00000306103.3,1467,39.98,HSPBAP1
ENST00000306107.9,1752,35.29,ALCAM
ENST00000306108.10,1434,41.37,TRMT61B
ENST00000306121.8,1356,36.05,SNX7
ENST00000306125.12,2328,53.41,QARS1
ENST00000306149.12,462,55.8,CSDC2
ENST00000306151.9,13482,48.13,MUC17
ENST00000306156.8,2214,44.43,PRKCE
ENST00000306185.8,537,35.86,MRPL13
ENST00000306193.8,714,38.87,CBR4
ENST00000306200.7,1008,41.43,STX18
ENST00000306238.3,273,48.38,SCGB1D1
ENST00000306268.8,1137,53.96,FOXI1
ENST00000306270.12,4062,36.07,IBTK
ENST00000306271.5,534,51.98,KRTAP1-1
ENST00000306279.4,966,54.76,ATOH8
ENST00000306306.8,774,62.11,REEP4
ENST00000306312.8,2235,40.34,SLC26A5
ENST00000306315.9,4539,40.42,ZNF608
ENST00000306317.7,1647,56.44,LGI3
ENST00000306318.5,1047,62.08,GBX2
ENST00000306324.4,768,61.36,HOXD4
ENST00000306336.6,501,49.38,C2orf68
ENST00000306357.9,711,43.43,STX8
ENST00000306368.9,462,54.54,RNF181
ENST00000306376.10,1533,42.69,ETV5
ENST00000306384.5,351,52.19,VAMP5
ENST00000306385.10,2961,53.83,BMP1
ENST00000306390.7,1044,55.52,LRG1
ENST00000306406.5,573,55.36,TMEM37
ENST00000306433.9,1197,49.41,POLR3D
ENST00000306434.8,1188,44.47,MAT2A
ENST00000306442.5,639,44.38,PPIC
ENST00000306480.11,816,41.86,TMEM192
ENST00000306482.2,684,36.95,PRL
ENST00000306503.5,1611,37.79,SOCS5
ENST00000306511.5,1281,45.77,PSG8
ENST00000306534.8,3024,52.98,ROBO4
ENST00000306562.8,1359,52.37,ZNF672
ENST00000306602.3,297,36.85,CXCL10
ENST00000306627.8,582,41.42,UBE2E1
ENST00000306645.10,564,60.89,CYBC1
ENST00000306658.8,1395,41.68,KRT28
ENST00000306675.5,1563,43.93,ADRA1B
ENST00000306688.8,2013,64.95,LRRC45
ENST00000306698.6,879,36.98,SGO1
ENST00000306721.8,1353,43.24,CDCA7
ENST00000306730.8,1089,40.51,AVEN
ENST00000306735.10,1032,48.51,RBFA
ENST00000306739.9,1662,60.76,ASPSCR1
ENST00000306749.4,7536,66.65,FASN
ENST00000306773.5,1299,59.94,NPTX1
ENST00000306796.10,1422,64.45,DUS1L
ENST00000306801.8,4008,49.12,RPTOR
ENST00000306858.8,3036,35.84,FAM83B
ENST00000306862.7,1917,37.91,C5orf34
ENST00000306869.7,735,62,DCXR
ENST00000306882.4,1665,41.35,CDY1B
ENST00000306897.9,579,68.5,RAC3
ENST00000306901.9,1509,41.21,CHRNA7
ENST00000306904.7,1179,55.65,RBMXL2
ENST00000306908.10,1668,46.22,ZNF57
ENST00000306910.9,1266,49.24,ZNF584
ENST00000306917.5,1884,39.17,FEM1B
ENST00000306928.6,1233,50.57,NTSR2
ENST00000306954.5,303,43.17,GON7
ENST00000306960.4,1383,53.85,CHRM1
ENST00000306984.8,540,40.57,MPLKIP
ENST00000306999.7,1326,38.01,ANKMY2
ENST00000307002.3,999,50.55,OR10G6
ENST00000307003.3,534,42.5,C7orf33
ENST00000307017.9,3129,35.48,USP38
ENST00000307063.9,2268,42.32,PWWP2A
ENST00000307068.5,621,38.75,SOSTDC1
ENST00000307076.8,1563,61.51,NT5DC2
ENST00000307078.10,2532,51.32,AXIN2
ENST00000307098.5,270,42.64,SPRR1B
ENST00000307126.10,1809,46.71,GTPBP2
ENST00000307138.10,6252,36.27,RALGAPA1
ENST00000307142.9,3786,38.36,SYNPO2
ENST00000307144.6,1146,41.35,LDHAL6B
ENST00000307145.4,867,49.38,KLF13
ENST00000307149.10,2313,45.97,COG7
ENST00000307161.5,1053,43.33,MTNR1A
ENST00000307169.4,1701,57.49,INSM2
ENST00000307194.6,921,45.7,GIMAP1
ENST00000307201.5,1407,52.6,ABHD15
ENST00000307221.5,930,36.73,DNAJB7
ENST00000307271.4,1998,43.24,GIMAP8
ENST00000307275.7,861,53.43,HEXIM2
ENST00000307296.8,2607,36.87,PDCD6IP
ENST00000307340.8,15609,36.36,USH2A
ENST00000307358.7,1362,56.08,HTRA3
ENST00000307360.6,2847,39.83,PCDHA10
ENST00000307363.10,2034,44.02,GLB1
ENST00000307365.4,699,58.69,DDIT4
ENST00000307366.8,609,52.08,TMEM223
ENST00000307378.10,2013,36.64,SLCO1A2
ENST00000307388.2,951,35.36,OR52A5
ENST00000307407.8,300,31.96,CXCL8
ENST00000307422.9,936,56.11,MRPL4
ENST00000307428.7,933,40.47,PARM1
ENST00000307439.10,1014,37.08,RASSF6
ENST00000307450.11,441,46.51,MORN4
ENST00000307471.8,423,41.98,CCDC126
ENST00000307503.4,1179,61.77,AGXT
ENST00000307518.9,1083,52.36,ANKRD2
ENST00000307522.5,1617,59.3,CCDC8
ENST00000307526.4,522,43.06,CMTM8
ENST00000307552.3,930,47.85,OR10V1
ENST00000307564.8,4320,50.65,AKNA
ENST00000307584.6,1095,40.24,CAVIN4
ENST00000307588.8,2502,40.42,CCDC110
ENST00000307599.5,1266,48.9,GOT1L1
ENST00000307602.9,2157,40.46,HOOK3
ENST00000307624.8,1668,40.73,ACOT12
ENST00000307630.5,744,44.52,YWHAG
ENST00000307635.3,1371,46.63,ZNF556
ENST00000307637.5,1449,41.16,C3AR1
ENST00000307641.9,576,49.4,NKIRAS2
ENST00000307650.9,483,62.73,MCRIP2
ENST00000307662.5,2712,52.53,SYNPO
ENST00000307677.5,702,48.2,BCL2L1
ENST00000307712.11,2298,38.8,SEC23A
ENST00000307719.9,873,39.94,NAT1
ENST00000307720.4,1113,38.96,PPID
ENST00000307741.11,2070,59.07,THOP1
ENST00000307746.9,411,42.97,CYTL1
ENST00000307750.5,2034,44.27,ZBTB5
ENST00000307751.9,972,51.96,LGALS4
ENST00000307765.10,2274,37.72,RXFP1
ENST00000307767.13,618,41.06,TVP23B
ENST00000307786.8,546,63.13,CALML6
ENST00000307790.8,2274,48.94,ASCC2
ENST00000307808.10,3633,41.18,AFF1
ENST00000307823.7,2484,62.67,CARNS1
ENST00000307845.8,582,52.12,HPCAL1
ENST00000307851.9,906,42.33,HAVCR2
ENST00000307859.4,690,42.69,TRIM40
ENST00000307877.7,1884,45.92,SRP68
ENST00000307885.4,3507,54.42,ADCY6
ENST00000307886.8,1131,59.12,CTSW
ENST00000307897.10,1776,40.27,ZWILCH
ENST00000307921.7,1509,44.58,ADAT1
ENST00000307959.9,1167,43.71,ARR3
ENST00000307961.11,1284,42.06,RPL4
ENST00000307980.7,1176,52.03,RAD9A
ENST00000307998.11,1332,60.57,EFEMP2
ENST00000308020.6,1464,56.05,PTDSS2
ENST00000308022.7,588,56.67,TMEM134
ENST00000308025.8,2463,49.65,DDX23
ENST00000308027.7,1281,56.06,SLC16A13
ENST00000308031.10,1881,40.18,ZNF471
ENST00000308059.11,5268,48.5,DLEC1
ENST00000308064.7,1236,56.44,CHST1
ENST00000308074.4,1518,52.71,SLC37A2
ENST00000308086.3,687,35.68,THAP2
ENST00000308105.5,444,44.83,SPMIP3
ENST00000308110.9,1656,60.2,MUS81
ENST00000308127.9,1980,61.2,SSH3
ENST00000308128.9,3123,36.91,DSG4
ENST00000308158.10,1353,51.42,PHYKPL
ENST00000308159.10,2460,42.43,NUP93
ENST00000308177.5,2805,50.58,PCDHGC3
ENST00000308191.11,1353,38.31,PDE7B
ENST00000308208.10,1692,47.84,CCDC63
ENST00000308219.13,2007,63.85,BRSK2
ENST00000308227.2,465,54.26,RNASE8
ENST00000308234.11,1437,43.29,RGMB
ENST00000308249.4,2268,39.61,PPM1E
ENST00000308268.10,771,37.99,PSMA8
ENST00000308271.14,3108,41.84,USP48
ENST00000308275.8,1212,39.44,FBXO22
ENST00000308278.13,774,49.92,TLCD3A
ENST00000308287.2,804,51.98,MS4A10
ENST00000308302.4,399,47.46,GOLT1A
ENST00000308304.2,681,54.37,PROP1
ENST00000308330.3,2736,35.54,LEMD3
ENST00000308342.7,1212,49.41,SNX32
ENST00000308354.11,1809,58.44,PDLIM2
ENST00000308360.8,1668,47.26,PIGS
ENST00000308366.9,447,45.12,PLA2G1B
ENST00000308370.11,4875,56.48,LTBP4
ENST00000308406.9,2451,59.22,MAPK7
ENST00000308423.7,2292,54.35,AOC3
ENST00000308448.11,1086,36.12,ATAD1
ENST00000308497.9,2781,42.71,STOX2
ENST00000308508.5,6969,59.29,CSPG4
ENST00000308521.10,1122,53.18,APOBEC3F
ENST00000308580.12,1059,41.02,TMOD3
ENST00000308595.10,2070,60.92,GRK2
ENST00000308611.8,1047,35.84,CD200R1
ENST00000308624.10,1620,42.85,SNTG2
ENST00000308641.6,1104,38.51,APOBEC4
ENST00000308659.12,417,44.42,BCL2L11
ENST00000308660.6,762,40.93,MARCHF3
ENST00000308666.4,2223,34.96,ABCD2
ENST00000308677.9,1056,53.35,PRKACA
ENST00000308683.3,1434,40.67,ZNF622
ENST00000308696.11,2862,37.89,PSMD1
ENST00000308700.6,738,47.22,ISX
ENST00000308713.9,2733,52.94,SEZ6L2
ENST00000308724.9,2358,55.18,AP1G2
ENST00000308736.7,3474,54.02,DHX37
ENST00000308742.9,1422,33.73,ALG10B
ENST00000308748.10,1173,50.19,ASPHD1
ENST00000308796.11,273,36.35,MUCL1
ENST00000308807.12,1416,45.73,MLKL
ENST00000308824.11,1086,44.52,PCMTD2
ENST00000308831.7,633,55.57,RHOD
ENST00000308860.11,1743,57.52,ADCK5
ENST00000308868.5,504,49.04,LEP
ENST00000308906.6,723,74.88,LKAAEAR1
ENST00000308910.9,537,40.8,GCSAM
ENST00000308919.12,1473,66.81,CYP2W1
ENST00000308963.4,348,59.84,C11orf86
ENST00000308964.7,843,61.17,CCDC106
ENST00000308973.9,2436,38.76,TLR10
ENST00000308979.7,2361,40.78,TLR1
ENST00000308982.12,1866,48.09,ACAD9
ENST00000308987.6,240,44.4,CKS1B
ENST00000309042.12,3294,43.58,REST
ENST00000309048.8,417,46.93,CENPS
ENST00000309061.12,1953,61.95,DUS3L
ENST00000309100.8,2544,57.13,MAP3K11
ENST00000309106.3,966,59.73,MRGPRD
ENST00000309117.11,894,44.22,VPS26C
ENST00000309137.13,765,41.93,PSME3IP1
ENST00000309156.9,1599,59.1,GRB7
ENST00000309166.8,726,44.64,NRIP3
ENST00000309170.8,1017,39.33,P2RY14
ENST00000309180.6,960,36.86,GPR171
ENST00000309190.9,2061,39.41,CAST
ENST00000309235.6,2235,42.33,ZNF483
ENST00000309241.10,3072,49,PPARGC1B
ENST00000309268.11,1389,42.73,EEF1A1
ENST00000309295.9,4572,60.61,EHBP1L1
ENST00000309311.7,2577,59.53,EEF2
ENST00000309315.9,2763,56.51,ZMIZ2
ENST00000309318.8,444,65.52,PPP1R14B
ENST00000309328.8,600,61.24,ZNRD2
ENST00000309366.9,429,63.61,FKBP2
ENST00000309377.9,633,46.42,AKIP1
ENST00000309383.6,2337,54.43,BRSK1
ENST00000309415.8,2649,48.61,SH3RF3
ENST00000309428.10,1401,46.4,RETREG3
ENST00000309446.11,909,41.24,KLF7
ENST00000309447.6,5229,38.82,NWD2
ENST00000309451.7,477,51.73,MZT2A
ENST00000309469.9,1425,55.3,ATG4D
ENST00000309502.7,981,48.14,ADORA1
ENST00000309539.8,822,38.78,OLR1
ENST00000309546.8,888,68.95,LIME1
ENST00000309558.8,1890,41.41,SUSD5
ENST00000309562.3,930,46.99,OR4B1
ENST00000309575.5,1593,57.61,CHST2
ENST00000309594.5,309,49.86,MRPL57
ENST00000309602.5,1908,70.38,LRFN4
ENST00000309623.1,933,41.92,OR1L1
ENST00000309657.8,990,60.49,RCE1
ENST00000309660.10,1248,42.19,PTPN2
ENST00000309664.10,1581,56.55,LMAN1L
ENST00000309668.3,1059,46.91,INHBC
ENST00000309680.4,1920,49.91,KRT2
ENST00000309683.11,1593,38.96,ZNF680
ENST00000309731.12,1065,49.41,GRAMD2A
ENST00000309733.6,399,37.3,FAM241A
ENST00000309739.6,699,52.07,RND1
ENST00000309755.9,1764,42.71,KLHL3
ENST00000309758.6,1932,58.64,HSPA6
ENST00000309765.4,5079,36.64,TOPAZ1
ENST00000309784.9,1212,42.27,TRIM59
ENST00000309794.16,1371,51.72,NARF
ENST00000309822.7,750,40.03,UTP23
ENST00000309834.8,612,39.22,HSFY1
ENST00000309851.10,657,46.17,GSTM1
ENST00000309859.8,1842,47.76,GGA2
ENST00000309880.6,1416,63.5,TIGD3
ENST00000309894.6,669,56.62,CSHL1
ENST00000309922.7,1212,41.21,TRMT10C
ENST00000309926.4,1044,57.46,GPR148
ENST00000309931.3,1248,39.38,DAW1
ENST00000309951.8,2670,41.71,ACO1
ENST00000309955.8,1443,44.35,CFLAR
ENST00000309979.11,2652,53.04,NDST2
ENST00000309982.10,438,42.75,BAALC
ENST00000309983.5,738,41.46,TPMT
ENST00000309988.9,462,52.06,MAL
ENST00000309993.3,1734,42.35,MSL2
ENST00000310018.7,2523,45.87,ATP6V0A4
ENST00000310032.12,999,58.7,TSPAN17
ENST00000310046.9,1080,43.82,RBM4B
ENST00000310053.10,3030,35.95,HLTF
ENST00000310054.9,1515,53.16,CYP2S1
ENST00000310074.8,1263,56.73,TADA2B
ENST00000310085.6,1668,57.87,CCDC96
ENST00000310109.5,696,50.22,LIPT2
ENST00000310118.9,2727,48.39,PSMD2
ENST00000310123.8,1614,55.73,LGI4
ENST00000310125.5,1218,47.55,TFDP3
ENST00000310127.10,3903,58.09,ATP8B3
ENST00000310144.11,1221,50.95,PSMC5
ENST00000310157.7,735,53.29,KLK6
ENST00000310164.3,1209,51.76,ZCCHC12
ENST00000310169.3,1440,42.93,CHRNA9
ENST00000310193.4,1521,37.55,CYP7B1
ENST00000310227.3,1533,63.18,INSM1
ENST00000310232.11,2148,47.17,CCDC13
ENST00000310256.7,816,41.64,ARV1
ENST00000310298.8,2490,41.8,PDE8A
ENST00000310300.11,2052,60.34,LRCH4
ENST00000310301.9,2565,38.35,VPS41
ENST00000310325.10,1455,58.71,CTSF
ENST00000310331.3,303,55.77,EIF4EBP3
ENST00000310340.9,2928,49.98,PIGG
ENST00000310343.13,6264,36.86,ARHGAP32
ENST00000310346.8,1557,45.85,TBX5
ENST00000310373.7,1863,48.31,GP6
ENST00000310380.11,1182,48.89,XXYLT1
ENST00000310389.6,735,50.73,ARL10
ENST00000310392.5,1119,40.7,METTL18
ENST00000310396.10,3081,36.6,CPED1
ENST00000310397.13,4242,50.87,SNED1
ENST00000310398.7,501,35.18,AGR3
ENST00000310421.5,3669,39.76,VCPIP1
ENST00000310430.11,3984,37.08,TNKS
ENST00000310441.12,6108,59.5,HCFC1
ENST00000310442.5,855,52.32,ZDHHC24
ENST00000310447.10,1359,43.43,CASP2
ENST00000310454.10,2184,37.9,GPD2
ENST00000310455.4,858,46.01,PPP1R3B
ENST00000310463.10,1143,61.7,CCDC74B
ENST00000310496.9,996,67.12,RFNG
ENST00000310512.4,2070,58.85,MEPCE
ENST00000310521.6,1347,45.42,CBY2
ENST00000310546.3,822,47.06,SPSB4
ENST00000310574.8,1908,53.48,SLC5A6
ENST00000310597.6,1212,68.13,ZNHIT2
ENST00000310613.8,891,37.28,SULT1B1
ENST00000310614.12,639,43.34,MRPL48
ENST00000310624.7,3063,52.84,NEFH
ENST00000310638.9,1560,48.46,CYP4A11
ENST00000310653.10,627,41.4,RAB6A
ENST00000310673.4,1053,40.65,SPESP1
ENST00000310677.8,3234,54.43,ADCY4
ENST00000310682.6,1350,46.58,SETD6
ENST00000310754.5,1110,40.63,TRAM1L1
ENST00000310786.10,594,38.12,CD164
ENST00000310791.4,711,41.13,REP15
ENST00000310803.10,2394,41.82,RASGRP1
ENST00000310806.9,3399,37.65,MIS18BP1
ENST00000310823.8,2475,41.31,ADAM17
ENST00000310826.10,3201,42.8,ZBTB21
ENST00000310833.12,1158,45.46,CD34
ENST00000310836.11,1626,36.06,UGT8
ENST00000310850.9,507,38.5,DTD2
ENST00000310864.11,1797,36.52,IQCB1
ENST00000310914.10,618,44.14,IQCF1
ENST00000310924.7,2304,52.49,TBC1D16
ENST00000310942.9,1599,58.06,CBX2
ENST00000310954.7,2175,34.85,SLCO4C1
ENST00000310955.11,1500,52.17,CDC20
ENST00000310958.10,2274,40.36,CCPG1
ENST00000310961.9,4488,35.38,LRRC7
ENST00000310981.6,648,48.51,SFT2D3
ENST00000310991.8,630,67.4,TMEM52
ENST00000310999.11,579,48.04,MRPL11
ENST00000311008.16,1587,55.79,SPNS1
ENST00000311014.11,1818,50.43,DNAI2
ENST00000311015.7,414,39.49,ZNF738
ENST00000311027.9,4944,47.1,MADD
ENST00000311034.7,2409,56.27,NPAS4
ENST00000311044.8,1497,58.58,ZNF497
ENST00000311048.11,1731,39.12,ZNF431
ENST00000311051.7,2127,51.87,APBB1
ENST00000311083.10,582,42.35,CSRP2
ENST00000311085.8,9084,37.58,DMXL1
ENST00000311086.9,558,44.58,BOD1
ENST00000311106.8,2262,39.92,PCSK1
ENST00000311111.11,213,48.98,RPL38
ENST00000311117.8,5577,39.74,KMT2E
ENST00000311127.9,4146,44.99,HEG1
ENST00000311128.10,1827,39.72,DENND6A
ENST00000311129.9,2004,44.53,PPP2R1B
ENST00000311131.6,1134,54.83,P2RY2
ENST00000311148.9,1266,49.34,ACOT1
ENST00000311151.9,1719,44.97,DPYSL2
ENST00000311160.14,4338,48.46,TNS3
ENST00000311170.5,906,48,VN1R4
ENST00000311177.7,753,55.85,HOXB9
ENST00000311180.9,1830,41.25,PDE12
ENST00000311181.5,1248,56.78,B4GAT1
ENST00000311189.8,570,68.98,HRAS
ENST00000311208.13,1299,58.67,KRT17
ENST00000311227.6,1344,53.57,TEAD2
ENST00000311234.9,2664,36.13,INTS6
ENST00000311268.8,1767,61.54,GPR162
ENST00000311269.10,2427,46.16,MARCHF10
ENST00000311277.9,1944,33.75,MAP9
ENST00000311320.9,2352,62.23,RIN1
ENST00000311330.4,2274,65.39,CD248
ENST00000311331.12,2598,37.67,ZNF624
ENST00000311351.9,402,42.98,LSM1
ENST00000311378.5,1731,57.83,WFIKKN2
ENST00000311381.8,723,47.09,MTRES1
ENST00000311403.4,3042,54.92,ZBTB4
ENST00000311413.5,1302,59.18,RNF26
ENST00000311417.7,870,39.67,ZMAT3
ENST00000311437.11,1590,45.8,ZNF490
ENST00000311445.7,483,61.44,CNIH2
ENST00000311450.9,534,41.07,PLAC8L1
ENST00000311459.12,603,40.65,DMAC2L
ENST00000311469.9,1266,39.35,COQ2
ENST00000311481.11,606,55.52,RAB1B
ENST00000311487.9,324,57.83,HMGA1
ENST00000311502.12,2190,57.06,RABL6
ENST00000311550.10,1422,41.34,GABRB3
ENST00000311575.6,777,52.36,FGFBP3
ENST00000311601.6,2736,48.3,SH3PXD2B
ENST00000311620.7,1254,42.41,ANKS4B
ENST00000311630.7,861,41.25,FBXO45
ENST00000311635.12,1620,51.99,FBXO31
ENST00000311638.7,669,40.52,THAP6
ENST00000311659.5,1968,53.25,UBQLN3
ENST00000311669.12,1491,43.5,ADPGK
ENST00000311672.10,276,46.23,UQCRH
ENST00000311737.12,744,51.96,PRSS1
ENST00000311764.3,2163,54.13,ZNF408
ENST00000311765.4,1590,48.25,PDP2
ENST00000311772.10,1056,44.43,PPP1R8
ENST00000311798.5,690,44.63,SSX5
ENST00000311806.8,1584,38.68,OXSR1
ENST00000311812.7,1323,42.91,SNX31
ENST00000311852.11,1749,57.24,MMP14
ENST00000311856.9,1656,49.92,SLC22A13
ENST00000311862.10,669,50.99,PRG2
ENST00000311912.5,3180,41.32,TLR8
ENST00000311916.8,2055,52.37,TWNK
ENST00000311921.8,2862,39.82,ZNF507
ENST00000311922.4,1119,51.3,TRIB1
ENST00000311923.1,1041,61,MOS
ENST00000311925.7,297,55.24,CCL19
ENST00000311955.4,1146,40.24,ABRA
ENST00000311956.9,1320,53.08,ARHGAP1
ENST00000311966.9,1809,47.05,GLS2
ENST00000312006.5,1296,55.97,GAL3ST3
ENST00000312026.6,1728,45.26,ZNF417
ENST00000312046.10,2520,36.67,OXR1
ENST00000312053.9,2661,44.41,ADGRE1
ENST00000312060.9,1458,60.9,CTU2
ENST00000312106.6,2343,56.69,CATSPER1
ENST00000312134.3,450,61.28,CST6
ENST00000312150.5,1353,39.86,KRT25
ENST00000312165.5,2679,63.52,NLRP6
ENST00000312184.6,783,43.8,TMEM70
ENST00000312233.4,1863,50.8,GLIS1
ENST00000312239.10,1662,40.94,HP1BP3
ENST00000312251.8,1548,56.14,NAGPA
ENST00000312280.9,483,45.45,PMP22
ENST00000312292.6,3240,50.82,C9orf131
ENST00000312293.9,774,50.62,FOLR1
ENST00000312295.5,792,50.84,RTP1
ENST00000312298.1,939,43.66,OR5J2
ENST00000312345.4,906,32.98,OR10AG1
ENST00000312349.5,675,45.47,FNDC9
ENST00000312350.9,1632,43.94,KCNK10
ENST00000312358.12,9804,57.57,SPEG
ENST00000312371.8,1497,50.95,AMZ1
ENST00000312377.10,1899,43.65,RACGAP1
ENST00000312397.10,2403,55.2,SART1
ENST00000312419.8,324,58.04,POLD4
ENST00000312428.11,12075,37.11,DNAH7
ENST00000312431.10,16614,38.08,DST
ENST00000312438.8,678,60.06,CLCF1
ENST00000312442.2,702,33.84,GLIPR1L1
ENST00000312457.2,1413,65.78,GPR152
ENST00000312475.5,840,40.93,MRPL46
ENST00000312504.10,669,37.47,VWC2L
ENST00000312511.4,156,55.31,PRM1
ENST00000312515.7,618,65.33,DRAP1
ENST00000312521.9,1740,40.67,NR1D2
ENST00000312527.9,1005,55.94,B3GAT1
ENST00000312541.10,1584,45.31,BTN2A1
ENST00000312547.7,669,54.43,CHMP2A
ENST00000312561.9,5244,41.61,RESF1
ENST00000312562.7,816,55.66,FOSL1
ENST00000312579.4,609,71.65,CCDC85B
ENST00000312584.4,1161,45.29,TNFRSF10D
ENST00000312600.4,1149,41.28,PABPC5
ENST00000312629.10,1449,58.79,RPS6KB2
ENST00000312637.5,573,35.57,FAM174A
ENST00000312648.8,723,65.78,CD7
ENST00000312655.9,360,46.63,YPEL2
ENST00000312693.4,417,48.21,TNP2
ENST00000312814.11,2094,35.26,TMEM168
ENST00000312828.4,612,42.43,RNF152
ENST00000312838.9,714,62.55,RNF166
ENST00000312849.4,396,40.22,LSMEM1
ENST00000312891.3,840,42.56,GJC3
ENST00000312916.12,2145,39.02,AGGF1
ENST00000312938.5,3162,40.32,ZBTB11
ENST00000312942.2,819,37.59,KCNRG
ENST00000312960.4,975,44.98,SIAH2
ENST00000312988.9,1353,51.65,TUBA3E
ENST00000313010.8,1491,39.33,PRCP
ENST00000313028.12,3078,54.62,PARP10
ENST00000313050.11,7074,52.76,SEC16A
ENST00000313056.10,960,54.33,OGFOD3
ENST00000313071.7,1470,52.18,FOXG1
ENST00000313080.8,2571,57.78,RHBDF2
ENST00000313117.11,717,41.45,SRSF7
ENST00000313143.9,2151,52.92,DVL3
ENST00000313146.10,1062,50.2,ISG20L2
ENST00000313164.10,2532,39.1,C7
ENST00000313173.6,873,52.17,HOXD8
ENST00000313213.5,390,44.11,PFN4
ENST00000313221.8,2208,39.8,FBXL13
ENST00000313236.10,1101,49.48,TMEM25
ENST00000313250.10,837,45,DHRS4
ENST00000313253.1,936,49.68,OR4D11
ENST00000313285.12,1638,54.01,TRIP10
ENST00000313324.9,780,48.26,FAM220A
ENST00000313334.13,477,41.13,BTF3L4
ENST00000313341.4,819,56.59,NEUROG2
ENST00000313349.3,945,40.14,SERTAD2
ENST00000313367.7,2664,40.72,OSBPL3
ENST00000313368.8,1050,42.01,TAF7
ENST00000313375.8,2559,56.25,MLXIPL
ENST00000313401.4,924,56.09,CDK5R1
ENST00000313421.11,2007,49.93,CD6
ENST00000313447.1,924,40.04,OR8K5
ENST00000313468.10,633,57.63,NDUFS8
ENST00000313472.3,939,42.71,OR8H3
ENST00000313486.12,813,49.87,PITPNA
ENST00000313511.8,1368,55.33,TUFM
ENST00000313519.9,1053,39.96,SUV39H2
