"Gene Symbol","Gene Accession Id","Allele Symbol","Allele Accession Id","Background Strain Name","Background Strain Accession Id","Chromosome","Phenotyping Center","Colony Id","Breeding Strategy","Total # Pups","Total # Male Pups","Total # Female Pups","Total # Hom Males","Total # Hom Females","Total # Hem Males","Total # WT Males","Total # WT Females","Total # Het Males","Total # Het Females","Percentage HOMs / HEMs","Supporting Data","Viability Phenotype HOMs/HEMIs","Viability Call Method","Comment","Procedure Link"
"Echdc1","MGI:1277169","Echdc1<em1(IMPC)J>","MGI:6376198","C57BL/6NJ","MGI:3056279","10","JAX","JR34508","HetXHet","34","15","19","2","5","No information available","4","6","9","8","0.20588235294117646","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Echdc3","MGI:1915106","Echdc3<em1(IMPC)Bay>","MGI:6437045","C57BL/6N","MGI:2159965","2","BCM","ECHOB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","78","39","39","9","6","0","8","9","22","24","0.19230769230769232","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eci2","MGI:1346064","Eci2<tm1b(EUCOMM)Hmgu>","MGI:5588272","C57BL/6NTac","MGI:2164831","13","CCP-IMG","IMG-HEPD0716_1_D10-1-1_Eci2","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","29","19","10","4","2","0","5","3","10","5","0.20689655172413793","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eci3","MGI:1916373","Eci3<tm1b(EUCOMM)Wtsi>","MGI:5548579","C57BL/6N","MGI:2159965","13","WTSI","MUBM","HetXHet","45","22","23","9","3","No information available","3","6","10","14","0.26666666666666666","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ecm1","MGI:103060","Ecm1<tm1b(EUCOMM)Hmgu>","MGI:5692542","C57BL/6NTac","MGI:2164831","3","MRC Harwell","H-ECM1-F10-TM1B","HetXHet","114","52","62","4","0","No information available","17","28","31","34","0.03508771929824561","Homozygous - Subviable","subviable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ecm2","MGI:3039578","Ecm2<em1(IMPC)Kmpc>","MGI:6336116","C57BL/6NTac","MGI:2164831","13","KMPC","M0074-Ecm2","HetXHet","194","96","98","24","33","No information available","26","17","46","48","0.29381443298969073","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ecpas","MGI:2140220","Ecpas<em1(IMPC)J>","MGI:6147390","C57BL/6NJ","MGI:3056279","4","JAX","JR31930","HetXHet","96","48","48","11","14","No information available","14","15","23","19","0.2604166666666667","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ecrg4","MGI:1926146","Ecrg4<tm1b(EUCOMM)Hmgu>","MGI:5766758","C57BL/6N","MGI:2159965","1","ICS","IP00006383a","HetXHet","41","21","20","7","4","No information available","3","7","11","9","0.2682926829268293","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ecscr","MGI:1915795","Ecscr<tm1.1(KOMP)Vlcg>","MGI:5583063","C57BL/6NCrl","MGI:2683688","18","UC Davis","BL4133","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","168","91","77","20","22","0","26","20","45","35","0.25","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Ect2","MGI:95281","Ect2<tm1b(EUCOMM)Wtsi>","MGI:5548931","C57BL/6N","MGI:2159965","3","ICS","IP00005491a","HetXHet","103","45","58","0","0","No information available","14","20","31","38","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eda","MGI:1195272","Eda<em1(IMPC)Tcp>","MGI:6286370","C57BL/6NCrl","MGI:2683688","X","TCP","TCPR1264_AEDS","Female parents genotype = Heterozygous X Male parents genotype = Hemizygous","64","30","34","0","16","11","19","0","0","18","0.421875","Hemizygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Edar","MGI:1343498","Edar<tm1b(KOMP)Wtsi>","MGI:5548453","C57BL/6NCrl","MGI:2683688","10","UC Davis","BL3430","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","215","111","104","14","11","0","40","28","57","65","0.11627906976744186","Homozygous - Subviable","subviable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Edaradd","MGI:1931001","Edaradd<em1(IMPC)Bay>","MGI:6467489","C57BL/6N","MGI:2159965","13","BCM","EDARB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","180","96","84","8","8","0","33","31","55","45","0.08888888888888889","Homozygous - Subviable","subviable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Edc3","MGI:2142951","Edc3<em1(IMPC)Tcp>","MGI:6156550","C57BL/6NCrl","MGI:2683688","9","TCP","TCPR0904_ADNN","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","150","80","70","12","10","0","15","19","53","41","0.14666666666666667","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Edc4","MGI:2446249","Edc4<tm1a(EUCOMM)Wtsi>","MGI:4433903","C57BL/6N","MGI:2159965","8","WTSI","MFAD","HetXHet","45","26","19","0","0","No information available","8","8","18","11","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eddm3b","MGI:2684921","Eddm3b<tm1b(KOMP)Wtsi>","MGI:5700046","C57BL/6N","MGI:2159965","14","MARC","Eddm3b_EPD0761_3_C06","HetXHet","51","30","21","10","9","No information available","8","4","12","8","0.37254901960784315","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Edem1","MGI:2180139","Edem1<em1(IMPC)Kmpc>","MGI:6336117","C57BL/6NTac","MGI:2164831","6","KMPC","M0109-Edem1","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","72","38","34","14","13","0","6","9","18","12","0.375","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Edem3","MGI:1914217","Edem3<tm1b(EUCOMM)Hmgu>","MGI:6162234","C57BL/6NTac","MGI:2164831","1","KMPC","M0063-Edem3","HetXHet","150","77","73","0","0","No information available","21","21","56","52","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Edn2","MGI:95284","Edn2<tm1b(KOMP)Mbp>","MGI:5603356","C57BL/6NTac","MGI:2164831","4","RBRC","RIKEN-Edn2-D1_","HetXHet","109","58","51","0","0","No information available","19","14","39","37","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ednra","MGI:105923","Ednra<tm1b(EUCOMM)Hmgu>","MGI:5644807","C57BL/6NJ","MGI:3056279","8","JAX","JR27942","HetXHet","110","56","54","0","0","No information available","15","22","41","32","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eea1","MGI:2442192","Eea1<tm1b(EUCOMM)Hmgu>","MGI:6120786","C57BL/6NCrl","MGI:2683688","10","HMGU","H5693-HEPD0744_8_F05-1","HetXHet","54","24","30","1","5","No information available","10","8","13","17","0.1111111111111111","Homozygous - Subviable","subviable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eef1a2","MGI:1096317","Eef1a2<em1(IMPC)Hmgu>","MGI:6157345","C57BL/6NCrl","MGI:2683688","2","HMGU","HMGU-Eef1a2-Crisp-1_AAAA-1","HetXHet","55","26","29","6","5","No information available","10","11","10","13","0.2","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eef1akmt1","MGI:1915293","Eef1akmt1<tm1a(EUCOMM)Wtsi>","MGI:4431797","C57BL/6N","MGI:2159965","14","WTSI","MFTF","HetXHet","105","50","55","13","16","No information available","10","14","27","25","0.2761904761904762","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eef1akmt2","MGI:1919346","Eef1akmt2<tm1b(EUCOMM)Wtsi>","MGI:5660733","C57BL/6NJ","MGI:3056279","7","JAX","JR28126","HetXHet","91","35","56","9","18","No information available","7","9","19","29","0.2967032967032967","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eef1b2","MGI:1929520","Eef1b2<em1(IMPC)J>","MGI:5823412","C57BL/6NJ","MGI:3056279","1","JAX","JR30239","HetXHet","284","145","139","22","15","No information available","43","37","80","87","0.13028169014084506","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eef1d","MGI:1913906","Eef1d<em1(IMPC)Mbp>","MGI:7425647","C57BL/6NCrl","MGI:2683688","15","UC Davis","CR10738","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","136","61","75","0","0","0","19","21","42","54","0.0","Homozygous - Lethal","lethal","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eef2kmt","MGI:1917761","Eef2kmt<tm1b(EUCOMM)Wtsi>","MGI:5766155","C57BL/6NTac","MGI:2164831","16","HMGU","Monterotondo-EPD0146_4_A06-1-1","HetXHet","88","45","43","11","15","No information available","13","12","21","16","0.29545454545454547","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eepd1","MGI:1914734","Eepd1<em1(IMPC)J>","MGI:6342819","C57BL/6NJ","MGI:3056279","9","JAX","JR34122","HetXHet","54","25","29","8","10","No information available","2","7","15","12","0.3333333333333333","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efcab11","MGI:1926017","Efcab11<tm1b(EUCOMM)Hmgu>","MGI:5637094","C57BL/6NTac","MGI:2164831","12","MRC Harwell","H-EFCAB11-A03-TM1B","HetXHet","189","97","92","29","20","No information available","24","26","44","46","0.25925925925925924","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efcab14","MGI:2442397","Efcab14<tm1b(KOMP)Wtsi>","MGI:6120787","C57BL/6N","MGI:2159965","4","BCM","EFABB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","187","83","104","11","15","0","24","27","48","62","0.13903743315508021","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efcab2","MGI:1915476","Efcab2<tm1b(EUCOMM)Wtsi>","MGI:6120736","C57BL/6N","MGI:2159965","1","BCM","EFCAB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","199","99","100","20","19","0","31","28","48","53","0.19597989949748743","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efcab3","MGI:1918144","Efcab3<em1(IMPC)Wtsi>","MGI:6153325","C57BL/6N","MGI:2159965","11","WTSI","DAFZ","HetXHet","34","18","16","5","6","No information available","7","3","6","7","0.3235294117647059","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efcab5","MGI:2442440","Efcab5<em1(IMPC)Mbp>","MGI:6423824","C57BL/6NCrl","MGI:2683688","11","UC Davis","CR10764","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","120","59","61","13","15","0","13","15","33","31","0.23333333333333334","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efcab6","MGI:1924877","Efcab6<tm1.1(KOMP)Vlcg>","MGI:5707302","C57BL/6NJ","MGI:3056279","15","JAX","JR28194","HetXHet","54","30","24","6","3","No information available","8","9","16","12","0.16666666666666666","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efcab7","MGI:2385199","Efcab7<em1(IMPC)J>","MGI:5912016","C57BL/6NJ","MGI:3056279","4","JAX","JR31309","HetXHet","69","28","41","4","12","No information available","7","10","17","19","0.2318840579710145","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efcab9","MGI:1916556","Efcab9<em1(IMPC)Bay>","MGI:6467483","C57BL/6N","MGI:2159965","11","BCM","EFFCB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","155","81","74","23","19","0","21","22","37","33","0.2709677419354839","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efcc1","MGI:3611451","Efcc1<em1(IMPC)Tcp>","MGI:6367978","C57BL/6NCrl","MGI:2683688","6","TCP","TCPR1435_AEHN","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","94","45","49","16","12","0","5","16","24","21","0.2978723404255319","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efemp1","MGI:1339998","Efemp1<tm1.1(KOMP)Vlcg>","MGI:5695896","C57BL/6NCrl","MGI:2683688","11","UC Davis","BL4123","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","129","67","62","12","7","0","15","24","40","31","0.14728682170542637","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efhb","MGI:3045296","Efhb<em1(IMPC)J>","MGI:6316340","C57BL/6NJ","MGI:3056279","17","JAX","JR33945","HetXHet","45","23","22","4","2","No information available","6","7","13","13","0.13333333333333333","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efhd1","MGI:1921607","Efhd1<em1(IMPC)J>","MGI:5825125","C57BL/6NJ","MGI:3056279","1","JAX","JR30343","HetXHet","97","55","42","11","14","No information available","18","9","26","19","0.25773195876288657","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efl1","MGI:2141969","Efl1<em1(IMPC)Bay>","MGI:6257755","C57BL/6N","MGI:2159965","7","BCM","EFLOB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","136","74","62","0","0","0","27","19","47","43","0.0","Homozygous - Lethal","lethal","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efna2","MGI:102707","Efna2<tm1.1(KOMP)Vlcg>","MGI:5695873","C57BL/6NCrl","MGI:2683688","10","UC Davis","TCPA0831Cre","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","42","19","23","3","5","0","5","9","11","9","0.19047619047619047","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Efna4","MGI:106643","Efna4<tm1.1(KOMP)Vlcg>","MGI:5608692","C57BL/6NJ","MGI:3056279","3","JAX","JR26533","HetXHet","111","62","49","7","10","No information available","22","16","33","23","0.15315315315315314","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efna5","MGI:107444","Efna5<tm1b(EUCOMM)Wtsi>","MGI:5548373","C57BL/6NTac","MGI:2164831","17","HMGU","HMGU-EPD0445_2_D06-1-1","HetXHet","114","48","66","11","6","No information available","12","21","25","39","0.14912280701754385","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Efr3b","MGI:2444851","Efr3b<em1(IMPC)Mbp>","MGI:6276872","C57BL/6NCrl","MGI:2683688","12","UC Davis","CR1675","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","150","77","73","18","19","0","17","16","42","38","0.24666666666666667","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eftud2","MGI:1336880","Eftud2<tm1b(KOMP)Wtsi>","MGI:5695118","C57BL/6N","MGI:2159965","11","ICS","IP00005906a","HetXHet","46","20","26","0","0","No information available","9","15","11","11","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Egfem1","MGI:1922990","Egfem1<em1(IMPC)J>","MGI:5662543","C57BL/6NJ","MGI:3056279","3","JAX","JR27692","HetXHet","94","42","52","11","14","No information available","10","13","21","25","0.26595744680851063","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Egfl6","MGI:1858599","Egfl6<tm1a(EUCOMM)Hmgu>","NOT-RELEASED-27fdffb349","C57BL/6NTac","MGI:2164831","X","KMPC","M0100-Egfl6","Female parents genotype = Heterozygous X Male parents genotype = Hemizygous","63","31","32","0","18","16","15","0","0","14","0.5396825396825397","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Egfl8","MGI:1932094","Egfl8<tm1.1(KOMP)Vlcg>","MGI:5695940","C57BL/6NCrl","MGI:2683688","17","UC Davis","ET10094","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","243","124","119","26","30","0","30","32","68","57","0.23045267489711935","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Egln3","MGI:1932288","Egln3<tm1b(EUCOMM)Wtsi>","MGI:5609356","C57BL/6N","MGI:2159965","12","BCM","EGLTB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","195","102","93","29","21","0","28","28","45","44","0.2564102564102564","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Egr1","MGI:95295","Egr1<tm1b(NCOM)Mfgc>","MGI:5766183","C57BL/6NCrl","MGI:2683688","18","TCP","TCPA0686Cre","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","142","72","70","7","4","0","29","25","36","41","0.07746478873239436","Homozygous - Subviable","subviable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Egr4","MGI:99252","Egr4<tm1.1(KOMP)Vlcg>","MGI:5708287","C57BL/6NCrl","MGI:2683688","6","UC Davis","BL5409","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","163","74","89","14","22","0","16","14","44","53","0.22085889570552147","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Ehbp1","MGI:2667252","Ehbp1<em1(IMPC)J>","MGI:6342439","C57BL/6NJ","MGI:3056279","11","JAX","JR34082","HetXHet","29","16","13","0","0","No information available","8","3","8","10","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ehbp1l1","MGI:3612340","Ehbp1l1<tm1a(EUCOMM)Wtsi>","MGI:4432707","C57BL/6N","MGI:2159965","19","WTSI","MFCC","HetXHet","141","70","71","0","0","No information available","22","21","48","50","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ehf","MGI:1270840","Ehf<em1(IMPC)Kmpc>","MGI:7425649","C57BL/6NTac","MGI:2164831","2","KMPC","M0123-Ehf","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","243","133","110","26","25","0","31","37","76","48","0.20987654320987653","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Ehhadh","MGI:1277964","Ehhadh<tm1b(KOMP)Wtsi>","MGI:6450139","C57BL/6NTac","MGI:2164831","16","MRC Harwell","H-EHHADH-C02-TM1B","HetXHet","178","103","75","28","19","No information available","27","20","48","36","0.2640449438202247","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ehmt1","MGI:1924933","Ehmt1<tm1b(EUCOMM)Hmgu>","MGI:5605800","C57BL/6N","MGI:2159965","2","MARC","Ehmt1_HEPD0734_3_F01-1","HetXHet","52","23","29","0","0","No information available","11","17","12","12","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ehmt1","MGI:1924933","Ehmt1<tm1b(EUCOMM)Hmgu>","MGI:5605800","C57BL/6N","MGI:2159965","2","WTSI","PMBZ","HetXHet","34","13","21","0","0","No information available","7","10","6","11","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Ehmt2","MGI:2148922","Ehmt2<tm1.1(KOMP)Mbp>","MGI:5471303","C57BL/6NJ","MGI:3056279","17","JAX","JR25261","HetXHet","67","28","39","0","0","No information available","10","18","18","21","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eid2","MGI:2681174","Eid2<em1(IMPC)J>","MGI:5909135","C57BL/6NJ","MGI:3056279","7","JAX","JR31068","HetXHet","104","42","62","11","12","No information available","10","10","21","40","0.22115384615384615","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eid2b","MGI:1924095","Eid2b<em1(IMPC)J>","MGI:6402774","C57BL/6NJ","MGI:3056279","7","JAX","JR35167","HetXHet","34","11","23","0","0","No information available","3","4","8","19","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eif1ad","MGI:1917110","Eif1ad<tm1b(EUCOMM)Hmgu>","MGI:5617790","C57BL/6NTac","MGI:2164831","19","MRC Harwell","H-EIF1AD-A03-TM1B","HetXHet","74","36","38","0","0","No information available","16","13","20","25","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eif1b","MGI:1916219","Eif1b<tm1.1(KOMP)Vlcg>","MGI:5617256","C57BL/6NJ","MGI:3056279","9","JAX","JR26541","HetXHet","44","22","22","6","3","No information available","6","5","10","14","0.20454545454545456","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eif2a","MGI:1098684","Eif2a<em1(IMPC)Mbp>","MGI:6152472","C57BL/6NCrl","MGI:2683688","3","UC Davis","CR1612","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","152","72","80","17","15","0","21","19","34","46","0.21052631578947367","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eif2ak1","MGI:1353448","Eif2ak1<em1(IMPC)Bay>","MGI:6257436","C57BL/6N","MGI:2159965","5","BCM","EIFKB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","170","76","94","10","23","0","17","26","49","45","0.19411764705882353","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eif2ak2","MGI:1353449","Eif2ak2<em1(IMPC)Mbp>","MGI:6276868","C57BL/6NCrl","MGI:2683688","17","UC Davis","CR10278","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","138","67","71","23","20","0","19","20","25","31","0.3115942028985507","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eif2b3","MGI:1313286","Eif2b3<tm1b(EUCOMM)Hmgu>","MGI:5636947","C57BL/6NTac","MGI:2164831","4","MRC Harwell","H-EIF2B3-D09-TM1B","HetXHet","105","64","41","0","0","No information available","23","14","41","27","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eif2b4","MGI:95300","Eif2b4<tm1b(KOMP)Wtsi>","NOT-RELEASED-e3d403a1d5","C57BL/6NCrl","MGI:2683688","5","UC Davis","BL3079","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","289","155","134","0","0","0","65","59","90","75","0.0","Homozygous - Lethal","lethal","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eif2d","MGI:109342","Eif2d<em1(IMPC)Mbp>","MGI:6276847","C57BL/6NCrl","MGI:2683688","1","UC Davis","CR10037","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","240","121","119","26","23","0","30","28","65","68","0.20416666666666666","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eif2s1","MGI:95299","Eif2s1<em1(IMPC)Mbp>","MGI:6293838","C57BL/6NCrl","MGI:2683688","12","UC Davis","CR10471","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","118","59","59","0","0","0","19","20","40","39","0.0","Homozygous - Lethal","lethal","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eif2s2","MGI:1914454","Eif2s2<em3(IMPC)Bay>","MGI:6257461","C57BL/6N","MGI:2159965","2","BCM","EIFSB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","82","41","41","0","0","0","15","12","26","29","0.0","Homozygous - Lethal","lethal","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"Eif2s3x","MGI:1349431","Eif2s3x<tm1.1(IMPC)Wtsi>","NOT-RELEASED-bf4df353ad","C57BL/6N","MGI:2159965","X","WTSI","TCAD","HetXHem","162","81","81","0","45","No information available","41","0","0","36","0.2777777777777778","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eif3f","MGI:1913335","Eif3f<em1(IMPC)Hmgu>","MGI:6384603","C57BL/6NCrl","MGI:2683688","7","HMGU","HMGU_Eif3f_Crispr1_AABC-1","HetXHet","33","17","16","0","0","No information available","5","5","12","11","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eif3h","MGI:1915385","Eif3h<tm1a(EUCOMM)Hmgu>","MGI:5008832","C57BL/6N","MGI:2159965","15","WTSI","MGLM","HetXHet","81","40","41","0","0","No information available","12","6","28","35","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"Eif3k","MGI:1921080","Eif3k<em1(IMPC)Hmgu>","MGI:6399916","C57BL/6NCrl","MGI:2683688","7","HMGU","HMGU_Eif3k_Crispr1_AAEC-1","HetXHet","30","15","15","0","0","No information available","5","4","10","11","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
