gene,null_model,alt_model,species,p,omega,branch
CNNM1,b_neut,b_free,34,0.000571,0.039,Primate
CNNM1,b_neut,b_free,39,0.001835,0.009,Great Ape
CNNM1,b_neut,b_free,35,0.9294,2.575,Haplorhine
CNNM2,b_neut,b_free,12,0.000409,0,Human
CNNM2,b_neut,b_free,41,0.026551,0,Homo-Pan
CNNM2,b_neut,b_free,34,0.000418,0.022,Primate
CNNM2,b_neut,b_free,39,0.085987,0,Great Ape
CNNM2,b_neut,b_free,35,1,1.165,Haplorhine
CNNM3,b_neut,b_free,12,0.055596,0.169,Human
CNNM3,b_neut,b_free,41,0.014065,0.068,Homo-Pan
CNNM3,b_neut,b_free,34,0.598358,0.374,Primate
CNNM3,b_neut,b_free,39,0.01435,0,Great Ape
CNNM3,b_neut,b_free,35,0.029534,0,Haplorhine
CNNM4,b_neut,b_free,12,0.015856,0.077,Human
CNNM4,b_neut,b_free,41,0.01431,0.073,Homo-Pan
CNNM4,b_neut,b_free,34,0.001173,0.117,Primate
CNNM4,b_neut,b_free,39,0.710041,0.468,Great Ape
CNNM4,b_neut,b_free,35,0.372243,999,Haplorhine
CNOT1,b_neut,b_free,12,0.000271,0,Human
CNOT1,b_neut,b_free,41,0.001287,0,Homo-Pan
CNOT1,b_neut,b_free,34,0,0,Primate
CNOT1,b_neut,b_free,39,1.8e-05,0,Great Ape
CNOT1,b_neut,b_free,35,0.012215,0.039,Haplorhine
CNOT10,b_neut,b_free,12,0.996808,0.563,Human
CNOT10,b_neut,b_free,41,0.00439,0,Homo-Pan
CNOT10,b_neut,b_free,34,0.008765,0.027,Primate
CNOT10,b_neut,b_free,39,0.990426,0,Great Ape
CNOT10,b_neut,b_free,35,1,7.713,Haplorhine
CNOT11,b_neut,b_free,12,0.113931,0,Human
CNOT11,b_neut,b_free,41,0.995778,0.561,Homo-Pan
CNOT11,b_neut,b_free,34,1,9.575,Primate
CNOT11,b_neut,b_free,39,0.992347,0.559,Great Ape
CNOT11,b_neut,b_free,35,0.017246,0,Haplorhine
CNOT2,b_neut,b_free,12,0.097237,0,Human
CNOT2,b_neut,b_free,41,0.987086,0,Homo-Pan
CNOT2,b_neut,b_free,34,0.98129,0,Primate
CNOT2,b_neut,b_free,39,0.994358,0.608,Great Ape
CNOT2,b_neut,b_free,35,0.993518,0.563,Haplorhine
CNOT3,b_neut,b_free,12,0,0,Human
CNOT3,b_neut,b_free,41,0.063531,0,Homo-Pan
CNOT3,b_neut,b_free,34,0.051783,0.182,Primate
CNOT3,b_neut,b_free,39,0.016289,0,Great Ape
CNOT3,b_neut,b_free,35,0.004248,0.045,Haplorhine
CNOT4,b_neut,b_free,12,0.993924,0.569,Human
CNOT4,b_neut,b_free,41,0.99563,0.564,Homo-Pan
CNOT4,b_neut,b_free,34,0.974224,0,Primate
CNOT4,b_neut,b_free,39,0.022984,0,Great Ape
CNOT4,b_neut,b_free,35,0.039521,0,Haplorhine
CNOT6,b_neut,b_free,12,0.005748,0,Human
CNOT6,b_neut,b_free,41,1,0,Homo-Pan
CNOT6,b_neut,b_free,34,0.000219,0,Primate
CNOT6,b_neut,b_free,39,0.064059,0,Great Ape
CNOT6,b_neut,b_free,35,0.016033,0.054,Haplorhine
CNOT6L,b_neut,b_free,12,0.110726,0,Human
CNOT6L,b_neut,b_free,41,0.998046,0.564,Homo-Pan
CNOT6L,b_neut,b_free,34,1,0.573,Primate
CNOT6L,b_neut,b_free,39,0.998046,0.563,Great Ape
CNOT6L,b_neut,b_free,35,0.9616,0,Haplorhine
CNOT7,b_neut,b_free,12,0.997477,0.65,Human
CNOT7,b_neut,b_free,41,0.997477,0.619,Homo-Pan
CNOT7,b_neut,b_free,34,0.251979,0,Primate
CNOT7,b_neut,b_free,39,0.992101,0,Great Ape
CNOT7,b_neut,b_free,35,0.000661,0,Haplorhine
CNOT8,b_neut,b_free,12,0.996615,0.565,Human
CNOT8,b_neut,b_free,41,0.100316,0,Homo-Pan
CNOT8,b_neut,b_free,34,0.807047,0,Primate
CNOT8,b_neut,b_free,39,0.989475,0,Great Ape
CNOT8,b_neut,b_free,35,0.304448,0,Haplorhine
CNOT9,b_neut,b_free,12,0.03378,0,Human
CNOT9,b_neut,b_free,41,1,0.565,Homo-Pan
CNOT9,b_neut,b_free,34,0.248984,0,Primate
CNOT9,b_neut,b_free,39,0.088299,0,Great Ape
CNOT9,b_neut,b_free,35,0.976147,0,Haplorhine
CNP,b_neut,b_free,12,0.011544,0,Human
CNP,b_neut,b_free,41,0.998872,0.53,Homo-Pan
CNP,b_neut,b_free,34,0.835203,2.342,Primate
CNP,b_neut,b_free,39,0.008374,0.061,Great Ape
CNP,b_neut,b_free,35,0.228085,0.118,Haplorhine
CNPPD1,b_neut,b_free,12,0.367149,0.532,Human
CNPPD1,b_neut,b_free,41,1,0.98,Homo-Pan
CNPPD1,b_neut,b_free,34,0.043856,0,Primate
CNPPD1,b_neut,b_free,39,0.925703,1.162,Great Ape
CNPPD1,b_neut,b_free,35,0.318178,0.242,Haplorhine
CNPY1,b_neut,b_free,12,0.053266,0.189,Human
CNPY1,b_neut,b_free,41,0.504255,999,Homo-Pan
CNPY1,b_neut,b_free,34,0.022858,0,Primate
CNPY1,b_neut,b_free,39,0.090073,0,Great Ape
CNPY1,b_neut,b_free,35,0.115338,0.119,Haplorhine
CNPY2,b_neut,b_free,12,0.122702,0,Human
CNPY2,b_neut,b_free,41,0.998872,0.568,Homo-Pan
CNPY2,b_neut,b_free,34,0.502292,999,Primate
CNPY2,b_neut,b_free,39,0.997743,0.563,Great Ape
CNPY2,b_neut,b_free,35,0.176018,0.162,Haplorhine
CNPY3,b_neut,b_free,12,0.071213,0.117,Human
CNPY3,b_neut,b_free,41,0.486012,999,Homo-Pan
CNPY3,b_neut,b_free,34,0.145112,0.124,Primate
CNPY3,b_neut,b_free,39,0.635822,0,Great Ape
CNPY3,b_neut,b_free,35,0.056751,0,Haplorhine
CNPY4,b_neut,b_free,12,0.001278,0,Human
CNPY4,b_neut,b_free,40,0.10676,0,Homo-Pan
CNPY4,b_neut,b_free,33,0.047837,0.061,Primate
CNPY4,b_neut,b_free,38,0.432909,152.991,Great Ape
CNPY4,b_neut,b_free,34,1,369.968,Haplorhine
CNR1,b_neut,b_free,12,0.000112,0,Human
CNR1,b_neut,b_free,41,0.086631,0,Homo-Pan
CNR1,b_neut,b_free,34,0.004271,0,Primate
CNR1,b_neut,b_free,39,0.176632,0,Great Ape
CNR1,b_neut,b_free,35,0.961156,0,Haplorhine
CNR2,b_neut,b_free,12,0.001305,0.063,Human
CNR2,b_neut,b_free,41,0.149239,0.18,Homo-Pan
CNR2,b_neut,b_free,34,0.089463,0.148,Primate
CNR2,b_neut,b_free,39,0.982704,0,Great Ape
CNR2,b_neut,b_free,35,0.717827,0.311,Haplorhine
CNRIP1,b_neut,b_free,12,0.002099,0,Human
CNRIP1,b_neut,b_free,41,1,0.562,Homo-Pan
CNRIP1,b_neut,b_free,34,0.768943,0,Primate
CNRIP1,b_neut,b_free,39,1,0.56,Great Ape
CNRIP1,b_neut,b_free,35,1,0.567,Haplorhine
CNST,b_neut,b_free,12,0.098797,0.336,Human
CNST,b_neut,b_free,41,0.249836,0.324,Homo-Pan
CNST,b_neut,b_free,34,0.00044,0.178,Primate
CNST,b_neut,b_free,39,0.919374,1.131,Great Ape
CNST,b_neut,b_free,35,0.836723,0.828,Haplorhine
CNTD1,b_neut,b_free,12,0.211237,0.228,Human
CNTD1,b_neut,b_free,41,0.581592,0.453,Homo-Pan
CNTD1,b_neut,b_free,34,0.129117,0.12,Primate
CNTD1,b_neut,b_free,39,0.147613,0,Great Ape
CNTD1,b_neut,b_free,35,0.396011,0.133,Haplorhine
CNTF,b_neut,b_free,12,0.235883,999,Human
CNTF,b_neut,b_free,41,0.120884,0,Homo-Pan
CNTF,b_neut,b_free,34,0.316839,0.198,Primate
CNTF,b_neut,b_free,39,0.997236,0.565,Great Ape
CNTF,b_neut,b_free,35,0.783981,999,Haplorhine
CNTFR,b_neut,b_free,12,0.011732,0.087,Human
CNTFR,b_neut,b_free,41,0.998872,0.564,Homo-Pan
CNTFR,b_neut,b_free,34,0.158203,0.087,Primate
CNTFR,b_neut,b_free,39,0.490607,999,Great Ape
CNTFR,b_neut,b_free,35,0.039033,0,Haplorhine
CNTLN,b_neut,b_free,12,0.145043,0.487,Human
CNTLN,b_neut,b_free,41,0.104431,0,Homo-Pan
CNTLN,b_neut,b_free,34,0.142387,0.293,Primate
CNTLN,b_neut,b_free,39,0.544575,0.621,Great Ape
CNTLN,b_neut,b_free,35,0.153391,999,Haplorhine
CNTN1,b_neut,b_free,12,3e-06,0,Human
CNTN1,b_neut,b_free,41,0.993718,0.562,Homo-Pan
CNTN1,b_neut,b_free,34,0.004251,0.03,Primate
CNTN1,b_neut,b_free,39,0.202246,0,Great Ape
CNTN1,b_neut,b_free,35,0.062694,0.042,Haplorhine
CNTN2,b_neut,b_free,12,0.006781,0.119,Human
CNTN2,b_neut,b_free,41,0.021084,0,Homo-Pan
CNTN2,b_neut,b_free,34,0.174422,0.207,Primate
CNTN2,b_neut,b_free,39,0.185925,0.163,Great Ape
CNTN2,b_neut,b_free,35,0.061355,0.098,Haplorhine
CNTN3,b_neut,b_free,12,0.000287,0.113,Human
CNTN3,b_neut,b_free,41,0.168734,0.185,Homo-Pan
CNTN3,b_neut,b_free,34,0.212207,0.369,Primate
CNTN3,b_neut,b_free,39,0.070004,0,Great Ape
CNTN3,b_neut,b_free,35,0.853087,1.715,Haplorhine
CNTN4,b_neut,b_free,12,0.000302,0.086,Human
CNTN4,b_neut,b_free,41,0.132102,0,Homo-Pan
CNTN4,b_neut,b_free,34,0.361958,0.246,Primate
CNTN4,b_neut,b_free,39,0.002395,0,Great Ape
CNTN4,b_neut,b_free,35,1,7.237,Haplorhine
CNTN5,b_neut,b_free,12,0.256473,0.457,Human
CNTN5,b_neut,b_free,41,0.108237,0,Homo-Pan
CNTN5,b_neut,b_free,34,0.011811,0.018,Primate
CNTN5,b_neut,b_free,39,0.031152,0,Great Ape
CNTN5,b_neut,b_free,35,0.062402,0.095,Haplorhine
CNTN6,b_neut,b_free,12,0.01378,0.136,Human
CNTN6,b_neut,b_free,41,0.545188,0.386,Homo-Pan
CNTN6,b_neut,b_free,34,0.528319,0.345,Primate
CNTN6,b_neut,b_free,39,0.525097,0.547,Great Ape
CNTN6,b_neut,b_free,35,0.06355,0.159,Haplorhine
CNTNAP1,b_neut,b_free,12,1.3e-05,0,Human
CNTNAP1,b_neut,b_free,41,0.488349,0.276,Homo-Pan
CNTNAP1,b_neut,b_free,34,0.003225,0.063,Primate
CNTNAP1,b_neut,b_free,39,0.017434,0.119,Great Ape
CNTNAP1,b_neut,b_free,35,0.977351,0.921,Haplorhine
CNTNAP2,b_neut,b_free,12,0,0.051,Human
CNTNAP2,b_neut,b_free,41,0.006083,0,Homo-Pan
CNTNAP2,b_neut,b_free,34,0.000674,0.09,Primate
CNTNAP2,b_neut,b_free,39,0.222636,0.174,Great Ape
CNTNAP2,b_neut,b_free,35,0.81614,0.657,Haplorhine
CNTNAP4,b_neut,b_free,12,0.793943,1.228,Human
CNTNAP4,b_neut,b_free,41,0.031115,0,Homo-Pan
CNTNAP4,b_neut,b_free,34,0.009927,0.191,Primate
CNTNAP4,b_neut,b_free,39,0.210081,0.194,Great Ape
CNTNAP4,b_neut,b_free,35,1.2e-05,0.038,Haplorhine
CNTNAP5,b_neut,b_free,12,0.009822,0.172,Human
CNTNAP5,b_neut,b_free,41,0.507521,0.369,Homo-Pan
CNTNAP5,b_neut,b_free,34,1.2e-05,0.11,Primate
CNTNAP5,b_neut,b_free,39,0.801662,0.578,Great Ape
CNTNAP5,b_neut,b_free,35,0.000541,0.033,Haplorhine
CNTRL,b_neut,b_free,12,0.064098,0.308,Human
CNTRL,b_neut,b_free,41,0.094439,0.357,Homo-Pan
CNTRL,b_neut,b_free,34,0.045788,0.384,Primate
CNTRL,b_neut,b_free,39,0.498053,2.773,Great Ape
CNTRL,b_neut,b_free,35,0.038804,0.295,Haplorhine
CNTROB,b_neut,b_free,12,0.666758,0.67,Human
CNTROB,b_neut,b_free,41,0.397224,999,Homo-Pan
CNTROB,b_neut,b_free,34,0.573533,0.574,Primate
CNTROB,b_neut,b_free,39,0.992601,0.847,Great Ape
CNTROB,b_neut,b_free,35,0.103917,0.163,Haplorhine
COA1,b_neut,b_free,12,0.924738,1.115,Human
COA1,b_neut,b_free,39,0.998046,0.568,Homo-Pan
COA1,b_neut,b_free,32,0.245209,6.975,Primate
COA1,b_neut,b_free,37,0.995778,0.27,Great Ape
COA1,b_neut,b_free,33,0.363688,999,Haplorhine
COA3,b_neut,b_free,12,1,0.583,Human
COA3,b_neut,b_free,41,0.405429,999,Homo-Pan
COA3,b_neut,b_free,34,0.003906,0,Primate
COA3,b_neut,b_free,39,1,0.643,Great Ape
COA3,b_neut,b_free,35,0.98764,0,Haplorhine
COA4,b_neut,b_free,12,0,37.634,Human
COA4,b_neut,b_free,41,1,0.495,Homo-Pan
COA4,b_neut,b_free,34,0.984571,0,Primate
COA4,b_neut,b_free,39,0.998872,0.534,Great Ape
COA4,b_neut,b_free,35,0.356162,0,Haplorhine
COA5,b_neut,b_free,12,1,0.389,Human
COA5,b_neut,b_free,41,1,0.387,Homo-Pan
COA5,b_neut,b_free,34,0.905579,1.929,Primate
COA5,b_neut,b_free,39,0.469247,0.331,Great Ape
COA5,b_neut,b_free,35,0.136201,0.096,Haplorhine
COA6,b_neut,b_free,12,0.994954,0,Human
COA6,b_neut,b_free,41,0.994358,0,Homo-Pan
COA6,b_neut,b_free,34,0.985998,0,Primate
COA6,b_neut,b_free,39,0.459638,441.074,Great Ape
COA6,b_neut,b_free,35,0.98482,0,Haplorhine
COA7,b_neut,b_free,12,0.092607,0,Human
COA7,b_neut,b_free,41,0.996615,0.305,Homo-Pan
COA7,b_neut,b_free,34,0.397464,0.057,Primate
COA7,b_neut,b_free,39,0.1045,0,Great Ape
COA7,b_neut,b_free,35,0.720465,0.555,Haplorhine
COA8,b_neut,b_free,11,0.272501,999,Human
COA8,b_neut,b_free,39,0.99323,0,Homo-Pan
COA8,b_neut,b_free,32,0.219488,0,Primate
COA8,b_neut,b_free,37,0.992515,35.405,Great Ape
COA8,b_neut,b_free,33,0.274107,0.153,Haplorhine
COASY,b_neut,b_free,12,0.001427,0.104,Human
COASY,b_neut,b_free,41,0.122775,0,Homo-Pan
COASY,b_neut,b_free,34,0.34355,0.441,Primate
COASY,b_neut,b_free,39,0.450627,999,Great Ape
COASY,b_neut,b_free,35,0.283715,0.282,Haplorhine
COBL,b_neut,b_free,12,0.385292,0.634,Human
COBL,b_neut,b_free,41,0.146665,0.298,Homo-Pan
COBL,b_neut,b_free,34,0.979044,1.021,Primate
COBL,b_neut,b_free,39,0.195289,0.435,Great Ape
COBL,b_neut,b_free,35,0.224572,0.513,Haplorhine
COBLL1,b_neut,b_free,12,0.185721,3.064,Human
COBLL1,b_neut,b_free,41,0.988112,0.981,Homo-Pan
COBLL1,b_neut,b_free,34,0.426396,1.676,Primate
COBLL1,b_neut,b_free,39,0.88404,1.19,Great Ape
COBLL1,b_neut,b_free,35,0.418335,1.748,Haplorhine
COCH,b_neut,b_free,12,0.024654,0,Human
COCH,b_neut,b_free,41,0.996808,0.613,Homo-Pan
COCH,b_neut,b_free,34,0.010036,0.038,Primate
COCH,b_neut,b_free,39,0.996091,0.564,Great Ape
COCH,b_neut,b_free,35,0.160069,0.172,Haplorhine
COG1,b_neut,b_free,12,0.512112,0.388,Human
COG1,b_neut,b_free,41,0.870637,0.813,Homo-Pan
COG1,b_neut,b_free,34,0.7517,0.539,Primate
COG1,b_neut,b_free,39,0.686471,0.477,Great Ape
COG1,b_neut,b_free,35,0.006374,0.198,Haplorhine
COG2,b_neut,b_free,12,0.259833,0.324,Human
COG2,b_neut,b_free,41,0.216257,0.216,Homo-Pan
COG2,b_neut,b_free,34,0.027591,0.068,Primate
COG2,b_neut,b_free,39,0.007073,0,Great Ape
COG2,b_neut,b_free,35,0.198687,0.153,Haplorhine
COG3,b_neut,b_free,12,0.001025,0.061,Human
COG3,b_neut,b_free,41,1,0.61,Homo-Pan
COG3,b_neut,b_free,34,0.098402,0.188,Primate
COG3,b_neut,b_free,39,0.995487,0.592,Great Ape
COG3,b_neut,b_free,35,0.581338,0.213,Haplorhine
COG4,b_neut,b_free,12,0.072502,0.251,Human
COG4,b_neut,b_free,41,0.000889,0,Homo-Pan
COG4,b_neut,b_free,34,0.100708,0.067,Primate
COG4,b_neut,b_free,39,0.215925,0.23,Great Ape
COG4,b_neut,b_free,35,0.139764,0,Haplorhine
COG5,b_neut,b_free,12,0.060716,0.28,Human
COG5,b_neut,b_free,41,0.509492,0.369,Homo-Pan
COG5,b_neut,b_free,34,0.12062,0.229,Primate
COG5,b_neut,b_free,39,0.006641,0,Great Ape
COG5,b_neut,b_free,35,0.025679,0,Haplorhine
COG6,b_neut,b_free,12,0.425801,999,Human
COG6,b_neut,b_free,41,0.108229,0,Homo-Pan
COG6,b_neut,b_free,34,0.000471,0.064,Primate
COG6,b_neut,b_free,39,0.139336,0,Great Ape
COG6,b_neut,b_free,35,0.781646,0.367,Haplorhine
COG7,b_neut,b_free,12,0.000155,0,Human
COG7,b_neut,b_free,41,5e-06,0,Homo-Pan
COG7,b_neut,b_free,34,0.09762,0.186,Primate
COG7,b_neut,b_free,39,0.002169,0,Great Ape
COG7,b_neut,b_free,35,0.716927,0.655,Haplorhine
COG8,b_neut,b_free,12,0.003312,0.069,Human
COG8,b_neut,b_free,41,0.000354,0,Homo-Pan
COG8,b_neut,b_free,34,0.269054,0.042,Primate
COG8,b_neut,b_free,39,0.548982,0.275,Great Ape
COG8,b_neut,b_free,35,0.481337,0,Haplorhine
COIL,b_neut,b_free,12,0.005652,0,Human
COIL,b_neut,b_free,41,0.162579,999,Homo-Pan
COIL,b_neut,b_free,34,0.969416,0.943,Primate
COIL,b_neut,b_free,39,0.082573,0.204,Great Ape
COIL,b_neut,b_free,35,0.032599,999,Haplorhine
COL10A1,b_neut,b_free,12,0.68546,0.777,Human
COL10A1,b_neut,b_free,41,0.251726,0.253,Homo-Pan
COL10A1,b_neut,b_free,34,0.219898,0.204,Primate
COL10A1,b_neut,b_free,39,0.044392,0,Great Ape
COL10A1,b_neut,b_free,35,0.110984,0.066,Haplorhine
COL11A1,b_neut,b_free,12,5e-06,0.079,Human
COL11A1,b_neut,b_free,41,0.00168,0,Homo-Pan
COL11A1,b_neut,b_free,34,0.000123,0.073,Primate
COL11A1,b_neut,b_free,39,0.000211,0.045,Great Ape
COL11A1,b_neut,b_free,35,0.000817,0.097,Haplorhine
COL11A2,b_neut,b_free,12,0.320811,0.469,Human
COL11A2,b_neut,b_free,41,0.000451,0,Homo-Pan
COL11A2,b_neut,b_free,34,0.000508,0.022,Primate
COL11A2,b_neut,b_free,39,0.990163,0.815,Great Ape
COL11A2,b_neut,b_free,35,0.000359,0.054,Haplorhine
COL12A1,b_neut,b_free,12,0,0.056,Human
COL12A1,b_neut,b_free,41,0.049157,0.235,Homo-Pan
COL12A1,b_neut,b_free,34,0.014491,0.243,Primate
COL12A1,b_neut,b_free,39,0.000549,0.048,Great Ape
COL12A1,b_neut,b_free,35,0.083389,0.274,Haplorhine
COL13A1,b_neut,b_free,12,0.225156,0.44,Human
COL13A1,b_neut,b_free,41,0.330049,999,Homo-Pan
COL13A1,b_neut,b_free,34,0.170878,0.36,Primate
COL13A1,b_neut,b_free,39,1,0.505,Great Ape
COL13A1,b_neut,b_free,35,0.022829,0,Haplorhine
COL14A1,b_neut,b_free,12,5.8e-05,0.076,Human
COL14A1,b_neut,b_free,41,0.069297,0,Homo-Pan
COL14A1,b_neut,b_free,34,0.016326,0.21,Primate
COL14A1,b_neut,b_free,39,0.052703,0.222,Great Ape
COL14A1,b_neut,b_free,35,0.445187,42.697,Haplorhine
COL15A1,b_neut,b_free,12,0.110832,0.491,Human
COL15A1,b_neut,b_free,41,0.996091,0.564,Homo-Pan
COL15A1,b_neut,b_free,34,0.941442,1.069,Primate
COL15A1,b_neut,b_free,39,0.120156,0.306,Great Ape
COL15A1,b_neut,b_free,35,0.025937,0.379,Haplorhine
COL16A1,b_neut,b_free,12,0.032382,0.276,Human
COL16A1,b_neut,b_free,41,0.429614,0.519,Homo-Pan
COL16A1,b_neut,b_free,34,0.008896,0.259,Primate
COL16A1,b_neut,b_free,39,0.836393,0.782,Great Ape
COL16A1,b_neut,b_free,35,0.017753,0.051,Haplorhine
COL17A1,b_neut,b_free,12,0.16031,0.526,Human
COL17A1,b_neut,b_free,41,0.231749,0.176,Homo-Pan
COL17A1,b_neut,b_free,34,0.539124,0.619,Primate
COL17A1,b_neut,b_free,39,0.002034,0.048,Great Ape
COL17A1,b_neut,b_free,35,0.198379,0.268,Haplorhine
COL18A1,b_neut,b_free,32,0.544772,0.705,Primate
COL18A1,b_neut,b_free,12,2.4e-05,0.213,Human
COL18A1,b_neut,b_free,39,0.03732,0,Homo-Pan
COL18A1,b_neut,b_free,37,0.667565,9.337,Great Ape
COL18A1,b_neut,b_free,33,7.5e-05,0.16,Haplorhine
COL1A1,b_neut,b_free,12,7e-06,0,Human
COL1A1,b_neut,b_free,41,0.317959,0.296,Homo-Pan
COL1A1,b_neut,b_free,34,0.278472,0.492,Primate
COL1A1,b_neut,b_free,39,0.926396,0,Great Ape
COL1A1,b_neut,b_free,35,0.668792,999,Haplorhine
COL1A2,b_neut,b_free,12,0.04813,0.133,Human
COL1A2,b_neut,b_free,41,0.009297,0,Homo-Pan
COL1A2,b_neut,b_free,34,0.488498,2.665,Primate
COL1A2,b_neut,b_free,39,0.083493,0.127,Great Ape
COL1A2,b_neut,b_free,35,0.076025,0.33,Haplorhine
COL20A1,b_neut,b_free,10,1.6e-05,0.165,Human
COL20A1,b_neut,b_free,38,0.008002,0,Homo-Pan
COL20A1,b_neut,b_free,36,0.664255,16.943,Great Ape
COL20A1,b_neut,b_free,31,0.293083,0.298,Primate
COL20A1,b_neut,b_free,32,0.14944,0.152,Haplorhine
COL21A1,b_neut,b_free,12,0.009866,0.13,Human
COL21A1,b_neut,b_free,39,0.453196,27.375,Homo-Pan
COL21A1,b_neut,b_free,32,0.000557,0.113,Primate
COL21A1,b_neut,b_free,37,0.193609,0,Great Ape
COL21A1,b_neut,b_free,33,0.351788,0.224,Haplorhine
COL22A1,b_neut,b_free,12,0.326676,0.675,Human
COL22A1,b_neut,b_free,41,0.602896,0.678,Homo-Pan
COL22A1,b_neut,b_free,34,0.049512,0.312,Primate
COL22A1,b_neut,b_free,39,0.029415,0.018,Great Ape
COL22A1,b_neut,b_free,35,8.3e-05,0.139,Haplorhine
COL23A1,b_neut,b_free,12,0.164869,0,Human
COL23A1,b_neut,b_free,41,0.191934,0,Homo-Pan
COL23A1,b_neut,b_free,34,0.028263,0.223,Primate
COL23A1,b_neut,b_free,39,0.50347,999,Great Ape
COL23A1,b_neut,b_free,35,0.196666,0.315,Haplorhine
COL24A1,b_neut,b_free,12,0.305719,0.565,Human
COL24A1,b_neut,b_free,41,0.075091,0.314,Homo-Pan
COL24A1,b_neut,b_free,34,0.003695,0.209,Primate
COL24A1,b_neut,b_free,39,0.000915,0,Great Ape
COL24A1,b_neut,b_free,35,0.894018,1.152,Haplorhine
COL25A1,b_neut,b_free,12,0.572222,0.446,Human
COL25A1,b_neut,b_free,41,0.366709,999,Homo-Pan
COL25A1,b_neut,b_free,34,0.041634,0.175,Primate
COL25A1,b_neut,b_free,39,0.154709,0,Great Ape
COL25A1,b_neut,b_free,35,0.66464,999,Haplorhine
COL26A1,b_neut,b_free,12,0.188133,0.21,Human
COL26A1,b_neut,b_free,41,0.572213,0,Homo-Pan
COL26A1,b_neut,b_free,34,0.275454,0.248,Primate
COL26A1,b_neut,b_free,39,0.177506,0.267,Great Ape
COL26A1,b_neut,b_free,35,0.236359,0.054,Haplorhine
COL27A1,b_neut,b_free,12,0.001968,0.271,Human
COL27A1,b_neut,b_free,41,0.776953,0.608,Homo-Pan
COL27A1,b_neut,b_free,34,0.002134,0.338,Primate
COL27A1,b_neut,b_free,39,0.290763,0.405,Great Ape
COL27A1,b_neut,b_free,35,0.001066,0.145,Haplorhine
COL28A1,b_neut,b_free,12,0.873157,0.893,Human
COL28A1,b_neut,b_free,41,0.058465,0.132,Homo-Pan
COL28A1,b_neut,b_free,34,0.521291,0.613,Primate
COL28A1,b_neut,b_free,39,0.422185,999,Great Ape
COL28A1,b_neut,b_free,35,0.008024,0.188,Haplorhine
COL2A1,b_neut,b_free,12,0.000841,0,Human
COL2A1,b_neut,b_free,41,0.000846,0,Homo-Pan
COL2A1,b_neut,b_free,34,0.011711,0.036,Primate
COL2A1,b_neut,b_free,39,0.005282,0,Great Ape
COL2A1,b_neut,b_free,35,0.001258,0.062,Haplorhine
COL3A1,b_neut,b_free,12,0.07759,0.156,Human
COL3A1,b_neut,b_free,41,0.003407,0.077,Homo-Pan
COL3A1,b_neut,b_free,34,0.062156,0.385,Primate
COL3A1,b_neut,b_free,39,0.763198,0.679,Great Ape
COL3A1,b_neut,b_free,35,0.572268,0.572,Haplorhine
COL4A1,b_neut,b_free,12,0.00039,0.137,Human
COL4A1,b_neut,b_free,41,0.010666,0,Homo-Pan
COL4A1,b_neut,b_free,34,1.4e-05,0.106,Primate
COL4A1,b_neut,b_free,39,0.209746,0.365,Great Ape
COL4A1,b_neut,b_free,35,0.000271,0.11,Haplorhine
COL4A2,b_neut,b_free,12,0.001699,0.316,Human
COL4A2,b_neut,b_free,41,0.019957,0,Homo-Pan
COL4A2,b_neut,b_free,34,0.000209,0.201,Primate
COL4A2,b_neut,b_free,39,0.484768,2.592,Great Ape
COL4A2,b_neut,b_free,35,0.013846,0.203,Haplorhine
COL4A3,b_neut,b_free,12,0.51659,0.706,Human
COL4A3,b_neut,b_free,41,0.014718,0.231,Homo-Pan
COL4A3,b_neut,b_free,34,0.03066,0.412,Primate
COL4A3,b_neut,b_free,39,0.755331,0.846,Great Ape
COL4A3,b_neut,b_free,35,0.519494,1.38,Haplorhine
COL4A4,b_neut,b_free,12,0.03476,0.366,Human
COL4A4,b_neut,b_free,41,0.815656,0.805,Homo-Pan
COL4A4,b_neut,b_free,34,0.834671,0.879,Primate
COL4A4,b_neut,b_free,39,0.474993,2.21,Great Ape
COL4A4,b_neut,b_free,35,0.138251,0.547,Haplorhine
COL4A5,b_neut,b_free,12,0.002468,0.157,Human
COL4A5,b_neut,b_free,41,0.611535,0.475,Homo-Pan
COL4A5,b_neut,b_free,34,0.000219,0.133,Primate
COL4A5,b_neut,b_free,39,0.338133,0.37,Great Ape
COL4A5,b_neut,b_free,35,0.611535,0.554,Haplorhine
COL4A6,b_neut,b_free,12,0.201991,0.461,Human
COL4A6,b_neut,b_free,41,0.559165,0.619,Homo-Pan
COL4A6,b_neut,b_free,34,0.23951,0.543,Primate
COL4A6,b_neut,b_free,39,0.152658,0.282,Great Ape
COL4A6,b_neut,b_free,35,0.016186,0.284,Haplorhine
COL5A1,b_neut,b_free,12,7.8e-05,0.051,Human
COL5A1,b_neut,b_free,41,0.176007,0.305,Homo-Pan
COL5A1,b_neut,b_free,34,3e-06,0.054,Primate
COL5A1,b_neut,b_free,39,4e-06,0,Great Ape
COL5A1,b_neut,b_free,35,0.532847,0.418,Haplorhine
COL5A2,b_neut,b_free,12,1e-05,0,Human
COL5A2,b_neut,b_free,41,0.000212,0,Homo-Pan
COL5A2,b_neut,b_free,34,0.032089,0.097,Primate
COL5A2,b_neut,b_free,39,0.078849,0,Great Ape
COL5A2,b_neut,b_free,35,0.046436,0.173,Haplorhine
