gene,null_model,alt_model,species,p,branch
CD3E,bsA1,bsA,39,0.001149,Great Ape
CD3E,bsA1,bsA,35,1,Haplorhine
CD3G,bsA1,bsA,12,1,Human
CD3G,bsA1,bsA,41,0.998872,Homo-Pan
CD3G,bsA1,bsA,34,0.991044,Primate
CD3G,bsA1,bsA,39,1,Great Ape
CD3G,bsA1,bsA,35,0.352426,Haplorhine
CD4,bsA1,bsA,12,1,Human
CD4,bsA1,bsA,41,1,Homo-Pan
CD4,bsA1,bsA,34,0.01604,Primate
CD4,bsA1,bsA,39,0.286616,Great Ape
CD4,bsA1,bsA,35,1,Haplorhine
CD40,bsA1,bsA,12,1,Human
CD40,bsA1,bsA,41,1,Homo-Pan
CD40,bsA1,bsA,34,1,Primate
CD40,bsA1,bsA,39,0.9879,Great Ape
CD40,bsA1,bsA,35,1,Haplorhine
CD40LG,bsA1,bsA,12,0.433298,Human
CD40LG,bsA1,bsA,41,1,Homo-Pan
CD40LG,bsA1,bsA,34,1,Primate
CD40LG,bsA1,bsA,39,1,Great Ape
CD40LG,bsA1,bsA,35,0.436125,Haplorhine
CD44,bsA1,bsA,12,0.628522,Human
CD44,bsA1,bsA,41,1,Homo-Pan
CD44,bsA1,bsA,34,0.020897,Primate
CD44,bsA1,bsA,39,1,Great Ape
CD44,bsA1,bsA,35,1,Haplorhine
CD46,bsA1,bsA,12,1,Human
CD46,bsA1,bsA,41,0.321876,Homo-Pan
CD46,bsA1,bsA,34,0.527157,Primate
CD46,bsA1,bsA,39,1,Great Ape
CD46,bsA1,bsA,35,1,Haplorhine
CD47,bsA1,bsA,12,1,Human
CD47,bsA1,bsA,41,1,Homo-Pan
CD47,bsA1,bsA,34,0.000885,Primate
CD47,bsA1,bsA,39,1,Great Ape
CD47,bsA1,bsA,35,1,Haplorhine
CD48,bsA1,bsA,12,1,Human
CD48,bsA1,bsA,41,0.997743,Homo-Pan
CD48,bsA1,bsA,34,1,Primate
CD48,bsA1,bsA,39,0.685346,Great Ape
CD48,bsA1,bsA,35,0.998872,Haplorhine
CD5,bsA1,bsA,12,0.987036,Human
CD5,bsA1,bsA,41,0.996432,Homo-Pan
CD5,bsA1,bsA,34,0.986507,Primate
CD5,bsA1,bsA,39,0.774178,Great Ape
CD5,bsA1,bsA,35,1,Haplorhine
CD52,bsA1,bsA,12,1,Human
CD52,bsA1,bsA,41,1,Homo-Pan
CD52,bsA1,bsA,34,1,Primate
CD52,bsA1,bsA,39,1,Great Ape
CD52,bsA1,bsA,35,1,Haplorhine
CD53,bsA1,bsA,12,0.997477,Human
CD53,bsA1,bsA,41,1,Homo-Pan
CD53,bsA1,bsA,34,1,Primate
CD53,bsA1,bsA,39,1,Great Ape
CD53,bsA1,bsA,35,1,Haplorhine
CD55,bsA1,bsA,12,1,Human
CD55,bsA1,bsA,41,0.653871,Homo-Pan
CD55,bsA1,bsA,34,0.849148,Primate
CD55,bsA1,bsA,39,1,Great Ape
CD55,bsA1,bsA,35,0.528686,Haplorhine
CD58,bsA1,bsA,12,1,Human
CD58,bsA1,bsA,39,0.417203,Homo-Pan
CD58,bsA1,bsA,32,1,Primate
CD58,bsA1,bsA,37,1,Great Ape
CD58,bsA1,bsA,33,1,Haplorhine
CD59,bsA1,bsA,11,1,Human
CD59,bsA1,bsA,39,0.581475,Homo-Pan
CD59,bsA1,bsA,32,1,Primate
CD59,bsA1,bsA,37,0.340155,Great Ape
CD59,bsA1,bsA,33,0.189992,Haplorhine
CD5L,bsA1,bsA,12,1,Human
CD5L,bsA1,bsA,41,1,Homo-Pan
CD5L,bsA1,bsA,34,0.805045,Primate
CD5L,bsA1,bsA,39,1,Great Ape
CD5L,bsA1,bsA,35,1,Haplorhine
CD6,bsA1,bsA,12,1,Human
CD6,bsA1,bsA,41,1,Homo-Pan
CD6,bsA1,bsA,34,0.998872,Primate
CD6,bsA1,bsA,39,0.998872,Great Ape
CD6,bsA1,bsA,35,1,Haplorhine
CD63,bsA1,bsA,12,1,Human
CD63,bsA1,bsA,41,1,Homo-Pan
CD63,bsA1,bsA,34,1,Primate
CD63,bsA1,bsA,39,1,Great Ape
CD63,bsA1,bsA,35,1,Haplorhine
CD68,bsA1,bsA,12,1,Human
CD68,bsA1,bsA,41,1,Homo-Pan
CD68,bsA1,bsA,34,0.26098,Primate
CD68,bsA1,bsA,39,1,Great Ape
CD68,bsA1,bsA,35,0.211978,Haplorhine
CD69,bsA1,bsA,12,1,Human
CD69,bsA1,bsA,40,1,Homo-Pan
CD69,bsA1,bsA,33,1,Primate
CD69,bsA1,bsA,38,1,Great Ape
CD69,bsA1,bsA,34,1,Haplorhine
CD7,bsA1,bsA,9,1,Human
CD7,bsA1,bsA,33,1,Homo-Pan
CD7,bsA1,bsA,31,1,Great Ape
CD7,bsA1,bsA,27,1,Haplorhine
CD70,bsA1,bsA,11,1,Human
CD70,bsA1,bsA,39,1,Homo-Pan
CD70,bsA1,bsA,32,0.990764,Primate
CD70,bsA1,bsA,37,1,Great Ape
CD70,bsA1,bsA,33,1,Haplorhine
CD72,bsA1,bsA,12,0.185094,Human
CD72,bsA1,bsA,41,0.533482,Homo-Pan
CD72,bsA1,bsA,34,0.973614,Primate
CD72,bsA1,bsA,39,1,Great Ape
CD72,bsA1,bsA,35,1,Haplorhine
CD74,bsA1,bsA,12,1,Human
CD74,bsA1,bsA,41,1,Homo-Pan
CD74,bsA1,bsA,34,1,Primate
CD74,bsA1,bsA,39,0.560235,Great Ape
CD74,bsA1,bsA,35,0.238889,Haplorhine
CD79A,bsA1,bsA,12,1,Human
CD79A,bsA1,bsA,41,1,Homo-Pan
CD79A,bsA1,bsA,34,0.198467,Primate
CD79A,bsA1,bsA,39,0.382816,Great Ape
CD79A,bsA1,bsA,35,0.937604,Haplorhine
CD79B,bsA1,bsA,12,1,Human
CD79B,bsA1,bsA,41,1,Homo-Pan
CD79B,bsA1,bsA,34,1,Primate
CD79B,bsA1,bsA,39,1,Great Ape
CD79B,bsA1,bsA,35,1,Haplorhine
CD80,bsA1,bsA,12,1,Human
CD80,bsA1,bsA,41,1,Homo-Pan
CD80,bsA1,bsA,34,0.118697,Primate
CD80,bsA1,bsA,39,1,Great Ape
CD80,bsA1,bsA,35,1.2e-05,Haplorhine
CD81,bsA1,bsA,12,1,Human
CD81,bsA1,bsA,40,1,Homo-Pan
CD81,bsA1,bsA,33,1,Primate
CD81,bsA1,bsA,38,1,Great Ape
CD81,bsA1,bsA,34,1,Haplorhine
CD82,bsA1,bsA,12,1,Human
CD82,bsA1,bsA,41,1,Homo-Pan
CD82,bsA1,bsA,34,0.010725,Primate
CD82,bsA1,bsA,39,1,Great Ape
CD82,bsA1,bsA,35,1,Haplorhine
CD83,bsA1,bsA,12,1,Human
CD83,bsA1,bsA,41,0.998404,Homo-Pan
CD83,bsA1,bsA,34,1,Primate
CD83,bsA1,bsA,39,1,Great Ape
CD83,bsA1,bsA,35,1,Haplorhine
CD84,bsA1,bsA,12,1,Human
CD84,bsA1,bsA,41,0.233695,Homo-Pan
CD84,bsA1,bsA,34,1,Primate
CD84,bsA1,bsA,39,1,Great Ape
CD84,bsA1,bsA,35,1,Haplorhine
CD86,bsA1,bsA,12,1,Human
CD86,bsA1,bsA,41,1,Homo-Pan
CD86,bsA1,bsA,34,0.00235,Primate
CD86,bsA1,bsA,39,1,Great Ape
CD86,bsA1,bsA,35,1,Haplorhine
CD8A,bsA1,bsA,12,1,Human
CD8A,bsA1,bsA,41,0.992687,Homo-Pan
CD8A,bsA1,bsA,34,1,Primate
CD8A,bsA1,bsA,39,1,Great Ape
CD8A,bsA1,bsA,35,0.028636,Haplorhine
CD9,bsA1,bsA,12,1,Human
CD9,bsA1,bsA,41,0.997743,Homo-Pan
CD9,bsA1,bsA,34,1,Primate
CD9,bsA1,bsA,39,1,Great Ape
CD9,bsA1,bsA,35,1,Haplorhine
CD93,bsA1,bsA,12,1,Human
CD93,bsA1,bsA,41,0.998872,Homo-Pan
CD93,bsA1,bsA,34,1,Primate
CD93,bsA1,bsA,39,0.861307,Great Ape
CD93,bsA1,bsA,35,1,Haplorhine
CD96,bsA1,bsA,12,0.891548,Human
CD96,bsA1,bsA,41,0.180741,Homo-Pan
CD96,bsA1,bsA,34,1,Primate
CD96,bsA1,bsA,39,0.806939,Great Ape
CD96,bsA1,bsA,35,0.994246,Haplorhine
CD99L2,bsA1,bsA,12,1,Human
CD99L2,bsA1,bsA,41,1,Homo-Pan
CD99L2,bsA1,bsA,34,0.011603,Primate
CD99L2,bsA1,bsA,39,1,Great Ape
CD99L2,bsA1,bsA,35,1,Haplorhine
CDA,bsA1,bsA,12,1,Human
CDA,bsA1,bsA,41,1,Homo-Pan
CDA,bsA1,bsA,34,1,Primate
CDA,bsA1,bsA,39,1,Great Ape
CDA,bsA1,bsA,35,1,Haplorhine
CDADC1,bsA1,bsA,12,1,Human
CDADC1,bsA1,bsA,41,1,Homo-Pan
CDADC1,bsA1,bsA,34,1,Primate
CDADC1,bsA1,bsA,39,0.993518,Great Ape
CDADC1,bsA1,bsA,35,1,Haplorhine
CDAN1,bsA1,bsA,12,1,Human
CDAN1,bsA1,bsA,41,1,Homo-Pan
CDAN1,bsA1,bsA,34,1,Primate
CDAN1,bsA1,bsA,39,1,Great Ape
CDAN1,bsA1,bsA,35,1,Haplorhine
CDC123,bsA1,bsA,12,0.973255,Human
CDC123,bsA1,bsA,41,1,Homo-Pan
CDC123,bsA1,bsA,34,1,Primate
CDC123,bsA1,bsA,39,1,Great Ape
CDC123,bsA1,bsA,35,1,Haplorhine
CDC14A,bsA1,bsA,12,1,Human
CDC14A,bsA1,bsA,41,1,Homo-Pan
CDC14A,bsA1,bsA,34,0.939221,Primate
CDC14A,bsA1,bsA,39,1,Great Ape
CDC14A,bsA1,bsA,35,1,Haplorhine
CDC14B,bsA1,bsA,12,1,Human
CDC14B,bsA1,bsA,41,1,Homo-Pan
CDC14B,bsA1,bsA,34,0.998872,Primate
CDC14B,bsA1,bsA,39,0.998872,Great Ape
CDC14B,bsA1,bsA,35,0.998872,Haplorhine
CDC14C,bsA1,bsA,10,0.984946,Human
CDC14C,bsA1,bsA,38,1,Homo-Pan
CDC14C,bsA1,bsA,36,0.079443,Great Ape
CDC14C,bsA1,bsA,31,0.994589,Primate
CDC14C,bsA1,bsA,32,0.483534,Haplorhine
CDC16,bsA1,bsA,12,1,Human
CDC16,bsA1,bsA,41,0.998872,Homo-Pan
CDC16,bsA1,bsA,34,0.998872,Primate
CDC16,bsA1,bsA,39,0.998404,Great Ape
CDC16,bsA1,bsA,35,1,Haplorhine
CDC20,bsA1,bsA,12,1,Human
CDC20,bsA1,bsA,41,0.998872,Homo-Pan
CDC20,bsA1,bsA,34,1,Primate
CDC20,bsA1,bsA,39,1,Great Ape
CDC20,bsA1,bsA,35,1,Haplorhine
CDC20B,bsA1,bsA,12,0.612521,Human
CDC20B,bsA1,bsA,41,1,Homo-Pan
CDC20B,bsA1,bsA,34,1,Primate
CDC20B,bsA1,bsA,39,1,Great Ape
CDC20B,bsA1,bsA,35,0.981495,Haplorhine
CDC23,bsA1,bsA,12,1,Human
CDC23,bsA1,bsA,41,1,Homo-Pan
CDC23,bsA1,bsA,34,0.988773,Primate
CDC23,bsA1,bsA,39,1,Great Ape
CDC23,bsA1,bsA,35,1,Haplorhine
CDC25A,bsA1,bsA,12,1,Human
CDC25A,bsA1,bsA,41,1,Homo-Pan
CDC25A,bsA1,bsA,34,1,Primate
CDC25A,bsA1,bsA,39,1,Great Ape
CDC25A,bsA1,bsA,35,1,Haplorhine
CDC25B,bsA1,bsA,12,1,Human
CDC25B,bsA1,bsA,41,1,Homo-Pan
CDC25B,bsA1,bsA,34,0.998872,Primate
CDC25B,bsA1,bsA,39,0.998872,Great Ape
CDC25B,bsA1,bsA,35,0.965692,Haplorhine
CDC25C,bsA1,bsA,12,1,Human
CDC25C,bsA1,bsA,41,1,Homo-Pan
CDC25C,bsA1,bsA,34,1,Primate
CDC25C,bsA1,bsA,39,1,Great Ape
CDC25C,bsA1,bsA,35,1,Haplorhine
CDC26,bsA1,bsA,12,1,Human
CDC26,bsA1,bsA,41,1,Homo-Pan
CDC26,bsA1,bsA,34,1,Primate
CDC26,bsA1,bsA,39,0.410015,Great Ape
CDC26,bsA1,bsA,35,0.997236,Haplorhine
CDC27,bsA1,bsA,12,0.824753,Human
CDC27,bsA1,bsA,41,1,Homo-Pan
CDC27,bsA1,bsA,34,1,Primate
CDC27,bsA1,bsA,39,1,Great Ape
CDC27,bsA1,bsA,35,1,Haplorhine
CDC34,bsA1,bsA,12,0.099509,Human
CDC34,bsA1,bsA,41,0.099509,Homo-Pan
CDC34,bsA1,bsA,34,0.099509,Primate
CDC34,bsA1,bsA,39,1,Great Ape
CDC34,bsA1,bsA,35,0.929633,Haplorhine
CDC37,bsA1,bsA,12,1,Human
CDC37,bsA1,bsA,41,1,Homo-Pan
CDC37,bsA1,bsA,34,1,Primate
CDC37,bsA1,bsA,39,1,Great Ape
CDC37,bsA1,bsA,35,1,Haplorhine
CDC37L1,bsA1,bsA,12,0.334575,Human
CDC37L1,bsA1,bsA,41,1,Homo-Pan
CDC37L1,bsA1,bsA,34,1,Primate
CDC37L1,bsA1,bsA,39,1,Great Ape
CDC37L1,bsA1,bsA,35,1,Haplorhine
CDC40,bsA1,bsA,12,1,Human
CDC40,bsA1,bsA,41,0.998872,Homo-Pan
CDC40,bsA1,bsA,34,1,Primate
CDC40,bsA1,bsA,39,1,Great Ape
CDC40,bsA1,bsA,35,1,Haplorhine
CDC42,bsA1,bsA,12,0.596147,Human
CDC42,bsA1,bsA,41,0.596147,Homo-Pan
CDC42,bsA1,bsA,34,0.596149,Primate
CDC42,bsA1,bsA,39,1,Great Ape
CDC42,bsA1,bsA,35,1,Haplorhine
CDC42BPA,bsA1,bsA,12,0.233667,Human
CDC42BPA,bsA1,bsA,41,1,Homo-Pan
CDC42BPA,bsA1,bsA,34,1,Primate
CDC42BPA,bsA1,bsA,39,0.233745,Great Ape
CDC42BPA,bsA1,bsA,35,1,Haplorhine
CDC42BPB,bsA1,bsA,12,1,Human
CDC42BPB,bsA1,bsA,41,1,Homo-Pan
CDC42BPB,bsA1,bsA,34,0.998872,Primate
CDC42BPB,bsA1,bsA,39,1,Great Ape
CDC42BPB,bsA1,bsA,35,1,Haplorhine
CDC42BPG,bsA1,bsA,12,0.997477,Human
CDC42BPG,bsA1,bsA,41,0.996091,Homo-Pan
CDC42BPG,bsA1,bsA,34,0.995778,Primate
CDC42BPG,bsA1,bsA,39,0.99563,Great Ape
CDC42BPG,bsA1,bsA,35,1,Haplorhine
CDC42EP1,bsA1,bsA,12,1,Human
CDC42EP1,bsA1,bsA,41,1,Homo-Pan
CDC42EP1,bsA1,bsA,34,0.967559,Primate
CDC42EP1,bsA1,bsA,39,1,Great Ape
CDC42EP1,bsA1,bsA,35,1,Haplorhine
CDC42EP2,bsA1,bsA,12,1,Human
CDC42EP2,bsA1,bsA,41,0.504073,Homo-Pan
CDC42EP2,bsA1,bsA,34,1,Primate
CDC42EP2,bsA1,bsA,39,1,Great Ape
CDC42EP2,bsA1,bsA,35,1,Haplorhine
CDC42EP3,bsA1,bsA,12,0.994829,Human
CDC42EP3,bsA1,bsA,41,1,Homo-Pan
CDC42EP3,bsA1,bsA,34,1,Primate
CDC42EP3,bsA1,bsA,39,0.991187,Great Ape
CDC42EP3,bsA1,bsA,35,1,Haplorhine
CDC42EP4,bsA1,bsA,12,1,Human
CDC42EP4,bsA1,bsA,41,1,Homo-Pan
CDC42EP4,bsA1,bsA,34,1,Primate
CDC42EP4,bsA1,bsA,39,1,Great Ape
CDC42EP4,bsA1,bsA,35,1,Haplorhine
CDC42EP5,bsA1,bsA,12,0.992864,Human
CDC42EP5,bsA1,bsA,41,0.559419,Homo-Pan
CDC42EP5,bsA1,bsA,34,1,Primate
CDC42EP5,bsA1,bsA,39,1,Great Ape
CDC42EP5,bsA1,bsA,35,1,Haplorhine
CDC42SE1,bsA1,bsA,11,1,Human
CDC42SE1,bsA1,bsA,40,1,Homo-Pan
CDC42SE1,bsA1,bsA,33,1,Primate
CDC42SE1,bsA1,bsA,38,1,Great Ape
CDC42SE1,bsA1,bsA,34,1,Haplorhine
CDC42SE2,bsA1,bsA,12,1,Human
CDC42SE2,bsA1,bsA,41,1,Homo-Pan
CDC42SE2,bsA1,bsA,34,1,Primate
CDC42SE2,bsA1,bsA,39,1,Great Ape
CDC42SE2,bsA1,bsA,35,1,Haplorhine
CDC45,bsA1,bsA,12,1,Human
CDC45,bsA1,bsA,41,1,Homo-Pan
CDC45,bsA1,bsA,34,1,Primate
CDC45,bsA1,bsA,39,0.997743,Great Ape
CDC45,bsA1,bsA,35,1,Haplorhine
CDC5L,bsA1,bsA,12,0.996615,Human
CDC5L,bsA1,bsA,41,1,Homo-Pan
CDC5L,bsA1,bsA,34,0.657949,Primate
CDC5L,bsA1,bsA,39,1,Great Ape
CDC5L,bsA1,bsA,35,0.997015,Haplorhine
CDC6,bsA1,bsA,12,0.233696,Human
CDC6,bsA1,bsA,41,1,Homo-Pan
CDC6,bsA1,bsA,34,1,Primate
CDC6,bsA1,bsA,39,1,Great Ape
CDC6,bsA1,bsA,35,1,Haplorhine
CDC7,bsA1,bsA,12,0.292654,Human
CDC7,bsA1,bsA,41,0.998872,Homo-Pan
CDC7,bsA1,bsA,34,0.998872,Primate
CDC7,bsA1,bsA,39,1,Great Ape
CDC7,bsA1,bsA,35,0.998404,Haplorhine
CDC73,bsA1,bsA,12,1,Human
CDC73,bsA1,bsA,41,0.402396,Homo-Pan
CDC73,bsA1,bsA,34,1,Primate
CDC73,bsA1,bsA,39,0.998872,Great Ape
CDC73,bsA1,bsA,35,1,Haplorhine
CDCA2,bsA1,bsA,12,0.380189,Human
CDCA2,bsA1,bsA,41,1,Homo-Pan
CDCA2,bsA1,bsA,34,0.997743,Primate
CDCA2,bsA1,bsA,39,1,Great Ape
CDCA2,bsA1,bsA,35,1,Haplorhine
CDCA3,bsA1,bsA,12,1,Human
CDCA3,bsA1,bsA,41,1,Homo-Pan
CDCA3,bsA1,bsA,34,1,Primate
CDCA3,bsA1,bsA,39,1,Great Ape
CDCA3,bsA1,bsA,35,1,Haplorhine
CDCA4,bsA1,bsA,12,1,Human
CDCA4,bsA1,bsA,40,1,Homo-Pan
CDCA4,bsA1,bsA,33,0.860575,Primate
CDCA4,bsA1,bsA,38,1,Great Ape
CDCA4,bsA1,bsA,34,1,Haplorhine
CDCA5,bsA1,bsA,12,0.998872,Human
CDCA5,bsA1,bsA,41,1,Homo-Pan
CDCA5,bsA1,bsA,34,0.559553,Primate
CDCA5,bsA1,bsA,39,1,Great Ape
CDCA5,bsA1,bsA,35,1,Haplorhine
CDCA7,bsA1,bsA,12,1,Human
CDCA7,bsA1,bsA,41,1,Homo-Pan
CDCA7,bsA1,bsA,34,0.655398,Primate
CDCA7,bsA1,bsA,39,0.612643,Great Ape
CDCA7,bsA1,bsA,35,1,Haplorhine
CDCA7L,bsA1,bsA,12,0.998872,Human
CDCA7L,bsA1,bsA,41,1,Homo-Pan
CDCA7L,bsA1,bsA,34,0.939356,Primate
CDCA7L,bsA1,bsA,39,1,Great Ape
CDCA7L,bsA1,bsA,35,0.998872,Haplorhine
CDCA8,bsA1,bsA,12,1,Human
CDCA8,bsA1,bsA,41,0.998872,Homo-Pan
CDCA8,bsA1,bsA,34,1,Primate
CDCA8,bsA1,bsA,39,1,Great Ape
CDCA8,bsA1,bsA,35,0.980071,Haplorhine
CDCP1,bsA1,bsA,12,1,Human
CDCP1,bsA1,bsA,41,0.464684,Homo-Pan
CDCP1,bsA1,bsA,34,1,Primate
CDCP1,bsA1,bsA,39,0.998872,Great Ape
CDCP1,bsA1,bsA,35,1,Haplorhine
CDCP2,bsA1,bsA,12,0.998872,Human
CDCP2,bsA1,bsA,41,1,Homo-Pan
CDCP2,bsA1,bsA,34,1,Primate
CDCP2,bsA1,bsA,39,1,Great Ape
CDCP2,bsA1,bsA,35,1,Haplorhine
CDH1,bsA1,bsA,12,1,Human
CDH1,bsA1,bsA,41,1,Homo-Pan
CDH1,bsA1,bsA,34,0.243847,Primate
CDH1,bsA1,bsA,39,1,Great Ape
CDH1,bsA1,bsA,35,1,Haplorhine
CDH10,bsA1,bsA,12,0.998872,Human
CDH10,bsA1,bsA,41,0.997743,Homo-Pan
CDH10,bsA1,bsA,34,1,Primate
CDH10,bsA1,bsA,39,0.997743,Great Ape
CDH10,bsA1,bsA,35,0.998872,Haplorhine
CDH11,bsA1,bsA,12,0.744833,Human
CDH11,bsA1,bsA,41,1,Homo-Pan
CDH11,bsA1,bsA,34,1,Primate
CDH11,bsA1,bsA,39,0.998872,Great Ape
CDH11,bsA1,bsA,35,1,Haplorhine
CDH12,bsA1,bsA,12,1,Human
CDH12,bsA1,bsA,41,0.998872,Homo-Pan
CDH12,bsA1,bsA,34,1,Primate
CDH12,bsA1,bsA,39,0.996808,Great Ape
CDH12,bsA1,bsA,35,1,Haplorhine
CDH13,bsA1,bsA,12,1,Human
CDH13,bsA1,bsA,41,0.949925,Homo-Pan
CDH13,bsA1,bsA,34,1,Primate
CDH13,bsA1,bsA,39,0.992021,Great Ape
CDH13,bsA1,bsA,35,0.904576,Haplorhine
CDH15,bsA1,bsA,30,0.775109,Primate
CDH15,bsA1,bsA,11,0.393286,Human
CDH15,bsA1,bsA,37,0.984946,Homo-Pan
CDH15,bsA1,bsA,35,1,Great Ape
CDH15,bsA1,bsA,31,0.997477,Haplorhine
CDH16,bsA1,bsA,12,1,Human
CDH16,bsA1,bsA,41,1,Homo-Pan
CDH16,bsA1,bsA,34,1,Primate
CDH16,bsA1,bsA,39,1,Great Ape
CDH16,bsA1,bsA,35,1,Haplorhine
CDH17,bsA1,bsA,12,1,Human
CDH17,bsA1,bsA,41,0.998872,Homo-Pan
CDH17,bsA1,bsA,34,0.433557,Primate
CDH17,bsA1,bsA,39,0.975961,Great Ape
CDH17,bsA1,bsA,35,1,Haplorhine
CDH18,bsA1,bsA,12,0.998404,Human
CDH18,bsA1,bsA,41,0.997477,Homo-Pan
CDH18,bsA1,bsA,34,1,Primate
CDH18,bsA1,bsA,39,1,Great Ape
CDH18,bsA1,bsA,35,1,Haplorhine
CDH19,bsA1,bsA,12,1,Human
CDH19,bsA1,bsA,41,0.450364,Homo-Pan
CDH19,bsA1,bsA,34,0.997743,Primate
CDH19,bsA1,bsA,39,1,Great Ape
CDH19,bsA1,bsA,35,0.998046,Haplorhine
CDH2,bsA1,bsA,12,1,Human
CDH2,bsA1,bsA,41,1,Homo-Pan
CDH2,bsA1,bsA,34,0.998046,Primate
CDH2,bsA1,bsA,39,1,Great Ape
CDH2,bsA1,bsA,35,0.997015,Haplorhine
CDH20,bsA1,bsA,12,1,Human
CDH20,bsA1,bsA,41,1,Homo-Pan
CDH20,bsA1,bsA,34,1,Primate
CDH20,bsA1,bsA,39,0.996808,Great Ape
CDH20,bsA1,bsA,35,1,Haplorhine
CDH22,bsA1,bsA,12,1,Human
CDH22,bsA1,bsA,41,0.998404,Homo-Pan
CDH22,bsA1,bsA,34,0.998872,Primate
CDH22,bsA1,bsA,39,1,Great Ape
CDH22,bsA1,bsA,35,0.998872,Haplorhine
CDH23,bsA1,bsA,12,1,Human
CDH23,bsA1,bsA,41,1,Homo-Pan
CDH23,bsA1,bsA,34,0.979227,Primate
CDH23,bsA1,bsA,39,1,Great Ape
CDH23,bsA1,bsA,35,1,Haplorhine
CDH24,bsA1,bsA,12,0.094368,Human
CDH24,bsA1,bsA,41,0.998872,Homo-Pan
CDH24,bsA1,bsA,34,1,Primate
CDH24,bsA1,bsA,39,0.615407,Great Ape
CDH24,bsA1,bsA,35,0.998872,Haplorhine
CDH26,bsA1,bsA,12,0.125908,Human
CDH26,bsA1,bsA,41,1,Homo-Pan
CDH26,bsA1,bsA,34,1,Primate
CDH26,bsA1,bsA,39,1,Great Ape
CDH26,bsA1,bsA,35,0.998404,Haplorhine
CDH3,bsA1,bsA,12,1,Human
CDH3,bsA1,bsA,41,1,Homo-Pan
CDH3,bsA1,bsA,34,1,Primate
CDH3,bsA1,bsA,39,1,Great Ape
CDH3,bsA1,bsA,35,1,Haplorhine
CDH4,bsA1,bsA,12,1,Human
CDH4,bsA1,bsA,41,0.998046,Homo-Pan
CDH4,bsA1,bsA,34,1,Primate
CDH4,bsA1,bsA,39,0.997743,Great Ape
CDH4,bsA1,bsA,35,0.686938,Haplorhine
CDH5,bsA1,bsA,12,0.998872,Human
CDH5,bsA1,bsA,41,0.998872,Homo-Pan
CDH5,bsA1,bsA,34,0.632051,Primate
CDH5,bsA1,bsA,39,1,Great Ape
CDH5,bsA1,bsA,35,1,Haplorhine
CDH6,bsA1,bsA,12,1,Human
CDH6,bsA1,bsA,41,1,Homo-Pan
CDH6,bsA1,bsA,34,0.998404,Primate
CDH6,bsA1,bsA,39,1,Great Ape
CDH6,bsA1,bsA,35,1,Haplorhine
CDH7,bsA1,bsA,12,0.997236,Human
CDH7,bsA1,bsA,41,0.992431,Homo-Pan
CDH7,bsA1,bsA,34,0.997477,Primate
CDH7,bsA1,bsA,39,1,Great Ape
CDH7,bsA1,bsA,35,0.998872,Haplorhine
CDH8,bsA1,bsA,12,1,Human
CDH8,bsA1,bsA,41,0.996432,Homo-Pan
CDH8,bsA1,bsA,34,1,Primate
CDH8,bsA1,bsA,39,1,Great Ape
CDH8,bsA1,bsA,35,1,Haplorhine
CDH9,bsA1,bsA,12,1,Human
CDH9,bsA1,bsA,41,1,Homo-Pan
CDH9,bsA1,bsA,34,0.077276,Primate
CDH9,bsA1,bsA,39,1,Great Ape
CDH9,bsA1,bsA,35,1,Haplorhine
CDHR1,bsA1,bsA,12,1,Human
CDHR1,bsA1,bsA,41,0.983924,Homo-Pan
CDHR1,bsA1,bsA,34,0.847877,Primate
CDHR1,bsA1,bsA,39,1,Great Ape
CDHR1,bsA1,bsA,35,1,Haplorhine
CDHR2,bsA1,bsA,12,0.998404,Human
CDHR2,bsA1,bsA,41,0.997477,Homo-Pan
CDHR2,bsA1,bsA,34,0.000416,Primate
CDHR2,bsA1,bsA,39,0.996615,Great Ape
CDHR2,bsA1,bsA,35,0.877933,Haplorhine
CDHR3,bsA1,bsA,12,1,Human
CDHR3,bsA1,bsA,41,1,Homo-Pan
CDHR3,bsA1,bsA,34,1,Primate
CDHR3,bsA1,bsA,39,0.392843,Great Ape
CDHR3,bsA1,bsA,35,1,Haplorhine
CDHR4,bsA1,bsA,12,0.49687,Human
CDHR4,bsA1,bsA,41,1,Homo-Pan
CDHR4,bsA1,bsA,34,1,Primate
CDHR4,bsA1,bsA,39,0.859937,Great Ape
CDHR4,bsA1,bsA,35,0.000381,Haplorhine
CDHR5,bsA1,bsA,11,0.998872,Human
CDHR5,bsA1,bsA,39,1,Homo-Pan
CDHR5,bsA1,bsA,32,0.307521,Primate
CDHR5,bsA1,bsA,37,1,Great Ape
CDHR5,bsA1,bsA,33,0.630689,Haplorhine
CDIP1,bsA1,bsA,12,1,Human
CDIP1,bsA1,bsA,41,0.996615,Homo-Pan
CDIP1,bsA1,bsA,34,1,Primate
CDIP1,bsA1,bsA,39,1,Great Ape
CDIP1,bsA1,bsA,35,1,Haplorhine
CDIPT,bsA1,bsA,12,1,Human
CDIPT,bsA1,bsA,41,1,Homo-Pan
CDIPT,bsA1,bsA,34,1,Primate
CDIPT,bsA1,bsA,39,0.614549,Great Ape
CDIPT,bsA1,bsA,35,0.614549,Haplorhine
CDK1,bsA1,bsA,12,1,Human
CDK1,bsA1,bsA,41,1,Homo-Pan
CDK1,bsA1,bsA,34,1,Primate
CDK1,bsA1,bsA,39,1,Great Ape
