gene,branch,p
COL25A1,Human,1
COL26A1,Homo-Pan,1
COL26A1,Haplorhine,0.435664744
COL26A1,Primate,1
COL26A1,Great Ape,1
COL26A1,Human,1
COL27A1,Homo-Pan,0.477302734
COL27A1,Haplorhine,1
COL27A1,Primate,1
COL27A1,Great Ape,1
COL27A1,Human,1
COL28A1,Homo-Pan,1
COL28A1,Haplorhine,1
COL28A1,Primate,1
COL28A1,Great Ape,0.299854274
COL28A1,Human,1
COL2A1,Homo-Pan,1
COL2A1,Haplorhine,1
COL2A1,Primate,1
COL2A1,Great Ape,1
COL2A1,Human,1
COL3A1,Homo-Pan,1
COL3A1,Haplorhine,1
COL3A1,Primate,1
COL3A1,Great Ape,0.449917607
COL3A1,Human,1
COL4A1,Homo-Pan,1
COL4A1,Haplorhine,1
COL4A1,Primate,1
COL4A1,Great Ape,1
COL4A1,Human,1
COL4A2,Homo-Pan,1
COL4A2,Haplorhine,1
COL4A2,Primate,1
COL4A2,Great Ape,0.394602006
COL4A2,Human,1
COL4A3,Homo-Pan,1
COL4A3,Haplorhine,0.262911782
COL4A3,Primate,1
COL4A3,Great Ape,1
COL4A3,Human,1
COL4A4,Homo-Pan,1
COL4A4,Haplorhine,1
COL4A4,Primate,1
COL4A4,Great Ape,0.424447142
COL4A4,Human,1
COL4A5,Homo-Pan,1
COL4A5,Haplorhine,1
COL4A5,Primate,1
COL4A5,Great Ape,1
COL4A5,Human,1
COL4A6,Homo-Pan,1
COL4A6,Haplorhine,1
COL4A6,Primate,1
COL4A6,Great Ape,1
COL4A6,Human,1
COL5A1,Homo-Pan,1
COL5A1,Haplorhine,0.427359364
COL5A1,Primate,1
COL5A1,Great Ape,1
COL5A1,Human,1
COL5A2,Homo-Pan,1
COL5A2,Haplorhine,1
COL5A2,Primate,1
COL5A2,Great Ape,1
COL5A2,Human,1
COL5A3,Homo-Pan,1
COL5A3,Haplorhine,1
COL5A3,Primate,1
COL5A3,Great Ape,1
COL5A3,Human,1
COL6A1,Homo-Pan,1
COL6A1,Primate,1
COL6A1,Haplorhine,1
COL6A1,Great Ape,1
COL6A1,Human,1
COL6A2,Homo-Pan,1
COL6A2,Primate,1
COL6A2,Haplorhine,1
COL6A2,Great Ape,1
COL6A2,Human,1
COL6A3,Homo-Pan,1
COL6A3,Haplorhine,1
COL6A3,Primate,1
COL6A3,Great Ape,1
COL6A3,Human,1
COL6A5,Homo-Pan,0.150259944
COL6A5,Haplorhine,0.320244739
COL6A5,Primate,1
COL6A5,Great Ape,1
COL6A5,Human,1
COL6A6,Homo-Pan,1
COL6A6,Haplorhine,0.334141379
COL6A6,Primate,1
COL6A6,Great Ape,1
COL6A6,Human,1
COL7A1,Homo-Pan,1
COL7A1,Haplorhine,0.387933021
COL7A1,Primate,1
COL7A1,Great Ape,1
COL7A1,Human,1
COL8A1,Homo-Pan,1
COL8A1,Haplorhine,1
COL8A1,Primate,1
COL8A1,Human,1
COL8A2,Homo-Pan,1
COL8A2,Haplorhine,1
COL8A2,Primate,1
COL8A2,Great Ape,1
COL8A2,Human,1
COL9A1,Haplorhine,1
COL9A1,Primate,1
COL9A1,Great Ape,0.475458829
COL9A1,Human,1
COL9A2,Homo-Pan,0.487877107
COL9A2,Haplorhine,1
COL9A2,Primate,1
COL9A2,Great Ape,0.257405347
COL9A2,Human,1
COL9A3,Haplorhine,0.482682794
COL9A3,Primate,1
COL9A3,Great Ape,0.200829331
COL9A3,Human,1
COLCA2,Primate,1
COLCA2,Primate,1
COLCA2,Primate,1
COLCA2,Human,1
COLEC10,Haplorhine,0.486402987
COLEC10,Primate,1
COLEC10,Human,0.298301625
COLEC11,Homo-Pan,1
COLEC11,Primate,1
COLEC11,Haplorhine,1
COLEC11,Human,0.302771507
COLEC12,Homo-Pan,1
COLEC12,Haplorhine,1
COLEC12,Primate,1
COLEC12,Great Ape,1
COLEC12,Human,1
COLGALT1,Primate,1
COLGALT1,Haplorhine,1
COLGALT1,Great Ape,1
COLGALT1,Human,1
COLGALT2,Homo-Pan,1
COLGALT2,Haplorhine,1
COLGALT2,Primate,1
COLGALT2,Great Ape,0.205608599
COLGALT2,Human,1
COLQ,Primate,1
COLQ,Primate,1
COLQ,Human,1
COMMD1,Haplorhine,1
COMMD1,Primate,0.259698006
COMMD1,Human,1
COMMD10,Haplorhine,1
COMMD10,Primate,1
COMMD10,Human,1
COMMD2,Haplorhine,1
COMMD2,Primate,0.496243396
COMMD2,Human,1
COMMD3,Haplorhine,0.175361843
COMMD3,Primate,1
COMMD3,Great Ape,0.296787595
COMMD3,Human,0.295350972
COMMD4,Homo-Pan,1
COMMD4,Haplorhine,1
COMMD4,Primate,1
COMMD4,Human,1
COMMD5,Homo-Pan,0.5
COMMD5,Primate,1
COMMD5,Haplorhine,1
COMMD5,Great Ape,1
COMMD5,Human,1
COMMD6,Haplorhine,1
COMMD6,Primate,1
COMMD6,Human,1
COMMD7,Homo-Pan,1
COMMD7,Haplorhine,1
COMMD7,Primate,1
COMMD7,Human,1
COMMD8,Haplorhine,1
COMMD8,Primate,1
COMMD8,Human,1
COMMD9,Haplorhine,1
COMMD9,Primate,1
COMMD9,Human,0.288338918
COMP,Primate,1
COMP,Primate,1
COMP,Primate,1
COMP,Human,1
COMT,Homo-Pan,1
COMT,Haplorhine,0.393690939
COMT,Primate,1
COMT,Great Ape,1
COMT,Human,1
COMTD1,Primate,1
COMTD1,Human,1
COP1,Homo-Pan,1
COP1,Haplorhine,1
COP1,Primate,1
COP1,Great Ape,0.218727266
COP1,Human,1
COPA,Haplorhine,1
COPA,Primate,1
COPA,Great Ape,1
COPA,Human,1
COPB1,Homo-Pan,1
COPB1,Haplorhine,1
COPB1,Primate,1
COPB1,Human,1
COPB2,Haplorhine,1
COPB2,Primate,1
COPB2,Great Ape,1
COPB2,Human,0.234024775
COPE,Primate,1
COPE,Haplorhine,1
COPE,Great Ape,1
COPE,Human,1
COPG1,Homo-Pan,1
COPG1,Primate,1
COPG1,Haplorhine,1
COPG1,Great Ape,1
COPG1,Human,1
COPG2,Homo-Pan,1
COPG2,Haplorhine,1
COPG2,Primate,1
COPG2,Human,1
COPRS,Haplorhine,1
COPRS,Primate,1
COPRS,Human,0.303594456
COPS2,Primate,1
COPS2,Primate,1
COPS2,Human,1
COPS3,Homo-Pan,1
COPS3,Primate,1
COPS3,Haplorhine,1
COPS3,Human,1
COPS4,Haplorhine,1
COPS4,Primate,1
COPS4,Human,1
COPS5,Haplorhine,1
COPS5,Primate,1
COPS5,Great Ape,1
COPS5,Human,1
COPS6,Haplorhine,1
COPS6,Primate,1
COPS6,Great Ape,1
COPS6,Human,1
COPS7A,Haplorhine,1
COPS7A,Primate,1
COPS7A,Human,1
COPS7B,Homo-Pan,1
COPS7B,Haplorhine,1
COPS7B,Primate,1
COPS7B,Human,1
COPS8,Haplorhine,1
COPS8,Primate,1
COPS8,Human,1
COPZ1,Haplorhine,1
COPZ1,Primate,1
COPZ1,Great Ape,1
COPZ1,Human,1
COPZ2,Haplorhine,1
COPZ2,Primate,1
COPZ2,Human,1
COQ10A,Haplorhine,1
COQ10A,Primate,1
COQ10A,Great Ape,1
COQ10A,Human,1
COQ10B,Haplorhine,1
COQ10B,Primate,1
COQ10B,Human,1
COQ2,Haplorhine,0.339733186
COQ2,Primate,1
COQ2,Great Ape,1
COQ2,Human,1
COQ3,Homo-Pan,0.364873674
COQ3,Haplorhine,1
COQ3,Primate,1
COQ3,Great Ape,1
COQ3,Human,0.063804066
COQ4,Homo-Pan,1
COQ4,Haplorhine,1
COQ4,Primate,1
COQ4,Human,1
COQ5,Primate,0.201597921
COQ5,Primate,1
COQ5,Primate,1
COQ5,Human,0.140622077
COQ6,Homo-Pan,0.295554665
COQ6,Haplorhine,1
COQ6,Primate,1
COQ6,Great Ape,1
COQ6,Human,1
COQ7,Haplorhine,1
COQ7,Primate,1
COQ7,Great Ape,1
COQ7,Human,1
COQ8A,Homo-Pan,0.297716324
COQ8A,Haplorhine,1
COQ8A,Primate,1
COQ8A,Great Ape,1
COQ8A,Human,1
COQ8B,Haplorhine,1
COQ8B,Primate,1
COQ8B,Great Ape,1
COQ8B,Human,1
COQ9,Haplorhine,1
COQ9,Primate,1
COQ9,Human,1
CORIN,Homo-Pan,1
CORIN,Haplorhine,1
CORIN,Primate,1
CORIN,Great Ape,1
CORIN,Human,0.296084269
CORO1A,Haplorhine,1
CORO1A,Primate,1
CORO1A,Great Ape,0.5
CORO1A,Human,1
CORO1B,Homo-Pan,1
CORO1B,Haplorhine,1
CORO1B,Primate,1
CORO1B,Great Ape,1
CORO1B,Human,1
CORO1C,Haplorhine,1
CORO1C,Primate,1
CORO1C,Great Ape,1
CORO1C,Human,1
CORO2A,Homo-Pan,1
CORO2A,Haplorhine,1
CORO2A,Primate,1
CORO2A,Great Ape,1
CORO2A,Human,1
CORO2B,Homo-Pan,1
CORO2B,Haplorhine,1
CORO2B,Primate,1
CORO2B,Human,1
CORO6,Haplorhine,1
CORO6,Primate,1
CORO6,Great Ape,1
CORO6,Human,1
CORO7,Homo-Pan,1
CORO7,Haplorhine,1
CORO7,Primate,1
CORO7,Great Ape,1
CORO7,Human,1
CORT,Haplorhine,0.341847692
CORT,Primate,1
CORT,Great Ape,1
CORT,Human,1
COX10,Homo-Pan,1
COX10,Haplorhine,0.471000311
COX10,Primate,1
COX10,Human,1
COX11,Haplorhine,1
COX11,Primate,1
COX11,Human,1
COX14,Haplorhine,0.485969921
COX14,Great Ape,0.310390445
COX14,Human,1
COX15,Homo-Pan,1
COX15,Haplorhine,1
COX15,Primate,1
COX15,Great Ape,1
COX15,Human,1
COX16,Haplorhine,1
COX16,Human,1
COX17,Primate,1
COX17,Human,1
COX18,Homo-Pan,0.469060933
COX18,Haplorhine,0.437099806
COX18,Primate,1
COX18,Great Ape,1
COX18,Human,1
COX19,Primate,1
COX19,Great Ape,1
COX19,Haplorhine,0.5
COX19,Human,0.5
COX20,Haplorhine,1
COX20,Primate,0.340681442
COX20,Great Ape,0.20978884
COX20,Human,0.303293592
COX4I1,Haplorhine,1
COX4I1,Primate,0.5
COX4I1,Great Ape,1
COX4I1,Human,1
COX4I2,Haplorhine,0.376728769
COX4I2,Primate,1
COX4I2,Human,0.221206969
COX5A,Haplorhine,1
COX5A,Primate,1
COX5A,Human,0.121886307
COX5B,Haplorhine,1
COX5B,Human,1
COX6A1,Primate,1
COX6A1,Human,1
COX6A2,Haplorhine,1
COX6A2,Primate,0.286079549
COX6A2,Great Ape,1
COX6A2,Human,1
COX6B1,Haplorhine,1
COX6B1,Primate,1
COX6B1,Great Ape,0.270487735
COX6B1,Human,1
COX6B2,Primate,0.298453833
COX6B2,Primate,1
COX6B2,Human,1
COX6C,Primate,1
COX6C,Primate,1
COX6C,Human,1
COX7A1,Haplorhine,0.5
COX7A1,Primate,1
COX7A1,Human,1
COX7A2,Homo-Pan,0.155696159
COX7A2,Haplorhine,0.449269542
COX7A2,Primate,1
COX7A2,Great Ape,0.305325955
COX7A2,Human,1
COX7A2L,Haplorhine,1
COX7A2L,Primate,1
COX7A2L,Human,1
COX7B,Primate,1
COX7B,Primate,1
COX7B,Human,1
COX7B2,Homo-Pan,1
COX7B2,Haplorhine,0.329528595
COX7B2,Primate,1
COX7B2,Human,1
COX7C,Primate,1
COX7C,Human,1
COX8A,Great Ape,1
COX8A,Haplorhine,0.352114026
COX8A,Great Ape,1
COX8A,Human,0.319539595
CP,Homo-Pan,1
CP,Haplorhine,1
CP,Primate,1
CP,Great Ape,1
CP,Human,1
CPA1,Haplorhine,1
CPA1,Primate,1
CPA1,Great Ape,1
CPA1,Human,1
CPA2,Haplorhine,1
CPA2,Primate,1
CPA2,Great Ape,1
CPA2,Human,1
CPA3,Haplorhine,0.207984592
CPA3,Primate,1
CPA3,Great Ape,1
CPA3,Human,1
CPA4,Homo-Pan,1
CPA4,Haplorhine,1
CPA4,Primate,1
CPA4,Great Ape,1
CPA4,Human,1
CPA5,Homo-Pan,1
CPA5,Haplorhine,1
CPA5,Primate,1
CPA5,Great Ape,0.253862034
CPA5,Human,1
CPA6,Homo-Pan,1
CPA6,Haplorhine,1
CPA6,Primate,1
CPA6,Great Ape,1
CPA6,Human,0.296497784
CPAMD8,Haplorhine,1
CPAMD8,Great Ape,1
CPAMD8,Homo-Pan,1
CPAMD8,Human,1
CPB1,Homo-Pan,0.434103691
CPB1,Haplorhine,0.262808498
CPB1,Primate,1
CPB1,Great Ape,1
CPB1,Human,1
CPB2,Haplorhine,0.36272114
CPB2,Primate,0.16595443
CPB2,Great Ape,1
CPB2,Human,0.479525894
CPD,Haplorhine,1
CPD,Primate,1
CPD,Great Ape,1
CPD,Human,1
CPE,Haplorhine,1
CPE,Primate,1
CPE,Great Ape,0.338079209
CPE,Human,1
CPEB1,Great Ape,0.293696917
CPEB1,Haplorhine,1
CPEB1,Primate,1
CPEB1,Great Ape,1
CPEB1,Human,1
CPEB2,Homo-Pan,1
CPEB2,Haplorhine,1
CPEB2,Primate,1
CPEB2,Great Ape,1
CPEB2,Human,1
CPEB3,Homo-Pan,1
CPEB3,Haplorhine,1
CPEB3,Primate,1
CPEB3,Great Ape,1
CPEB3,Human,1
CPEB4,Homo-Pan,1
CPEB4,Haplorhine,1
CPEB4,Primate,1
CPEB4,Human,1
CPED1,Haplorhine,1
CPED1,Primate,1
CPED1,Great Ape,0.177658695
CPED1,Human,1
CPHXL,Great Ape,1
CPHXL,Homo-Pan,0.142824118
CPHXL,Human,1
CPLANE1,Homo-Pan,0.473709659
CPLANE1,Haplorhine,1
CPLANE1,Primate,1
CPLANE1,Great Ape,0.497508248
CPLANE1,Human,1
CPLANE2,Haplorhine,1
CPLANE2,Primate,1
CPLANE2,Great Ape,1
CPLANE2,Human,0.221245706
CPLX1,Great Ape,1
CPLX1,Haplorhine,1
CPLX1,Primate,1
CPLX1,Great Ape,1
CPLX1,Human,1
CPLX2,Haplorhine,1
CPLX2,Primate,1
CPLX2,Human,1
CPLX3,Haplorhine,0.49302984
CPLX3,Human,1
CPLX4,Haplorhine,1
CPLX4,Primate,1
CPLX4,Great Ape,1
CPLX4,Human,1
CPM,Haplorhine,1
CPM,Primate,1
CPM,Great Ape,1
CPM,Human,1
CPN1,Haplorhine,1
CPN1,Primate,1
CPN1,Human,1
CPN2,Primate,1
CPN2,Primate,1
CPN2,Primate,1
CPN2,Human,1
CPNE1,Homo-Pan,1
CPNE1,Haplorhine,1
CPNE1,Primate,1
CPNE1,Great Ape,1
CPNE1,Human,1
CPNE2,Haplorhine,1
CPNE2,Primate,1
CPNE2,Great Ape,1
CPNE2,Human,1
CPNE3,Haplorhine,1
CPNE3,Primate,1
CPNE3,Great Ape,0.307255642
CPNE3,Human,1
CPNE4,Homo-Pan,1
CPNE4,Haplorhine,0.448721402
CPNE4,Primate,1
CPNE4,Great Ape,1
CPNE4,Human,1
CPNE5,Homo-Pan,1
CPNE5,Haplorhine,1
CPNE5,Primate,1
CPNE5,Great Ape,1
CPNE5,Human,1
CPNE6,Homo-Pan,1
CPNE6,Haplorhine,1
CPNE6,Primate,1
CPNE6,Great Ape,1
CPNE6,Human,1
CPNE7,Primate,1
CPNE7,Haplorhine,1
CPNE7,Great Ape,1
CPNE7,Homo-Pan,1
CPNE7,Human,1
CPNE8,Homo-Pan,1
CPNE8,Haplorhine,1
CPNE8,Primate,1
CPNE8,Human,1
CPNE9,Primate,1
CPNE9,Human,1
CPO,Primate,0.001232912
CPO,Primate,1
CPO,Human,1
CPOX,Primate,1
CPOX,Primate,0.306961208
CPOX,Human,0.472756329
CPPED1,Homo-Pan,1
CPPED1,Haplorhine,1
CPPED1,Primate,1
CPPED1,Great Ape,0.25010664
CPPED1,Human,1
CPQ,Haplorhine,1
CPQ,Primate,1
CPQ,Great Ape,1
CPQ,Human,1
CPS1,Homo-Pan,1
CPS1,Haplorhine,1
CPS1,Primate,1
CPS1,Great Ape,1
CPS1,Human,1
CPSF1,Homo-Pan,1
CPSF1,Haplorhine,1
CPSF1,Primate,1
CPSF1,Great Ape,1
CPSF1,Human,1
CPSF2,Haplorhine,1
CPSF2,Primate,1
CPSF2,Human,1
CPSF3,Homo-Pan,1
CPSF3,Haplorhine,1
CPSF3,Primate,1
CPSF3,Great Ape,1
CPSF3,Human,1
CPSF4,Haplorhine,1
CPSF4,Primate,1
CPSF4,Great Ape,1
CPSF4,Human,1
CPSF4L,Homo-Pan,0.31242768
CPSF4L,Haplorhine,1
CPSF4L,Primate,1
CPSF4L,Human,1
CPSF6,Haplorhine,1
CPSF6,Primate,1
CPSF6,Human,1
CPSF7,Great Ape,1
CPSF7,Haplorhine,1
CPSF7,Primate,1
CPSF7,Great Ape,1
CPSF7,Human,1
CPT1A,Homo-Pan,1
CPT1A,Haplorhine,1
CPT1A,Primate,1
CPT1A,Great Ape,0.122443008
CPT1A,Human,1
CPT1B,Homo-Pan,1
CPT1B,Haplorhine,1
CPT1B,Primate,1
CPT1B,Great Ape,1
CPT1B,Human,1
CPT1C,Homo-Pan,1
CPT1C,Haplorhine,1
CPT1C,Primate,1
CPT1C,Great Ape,1
CPT1C,Human,1
CPT2,Homo-Pan,1
CPT2,Haplorhine,1
CPT2,Primate,1
CPT2,Human,1
CPTP,Haplorhine,1
CPTP,Primate,1
CPTP,Great Ape,1
CPTP,Human,1
CPVL,Homo-Pan,0.32732623
CPVL,Haplorhine,0.5
CPVL,Primate,1
CPVL,Great Ape,1
CPVL,Human,1
CPXCR1,Haplorhine,1
CPXCR1,Great Ape,0.192037771
CPXCR1,Homo-Pan,1
CPXCR1,Human,2.56521559217071e-05
CPXM1,Homo-Pan,1
CPXM1,Haplorhine,1
CPXM1,Primate,1
CPXM1,Great Ape,0.301145848
CPXM1,Human,0.311611697
CPXM2,Haplorhine,1
CPXM2,Primate,1
CPXM2,Great Ape,1
CPXM2,Human,1
CPZ,Primate,1
CPZ,Haplorhine,1
CPZ,Great Ape,1
CPZ,Human,1
CR1,Homo-Pan,1
CR1,Haplorhine,0.26614627
CR1,Primate,1
CR1,Great Ape,1
CR1,Human,1
CR1L,Homo-Pan,1
CR1L,Haplorhine,1
CR1L,Primate,1
CR1L,Great Ape,0.05692961
CR1L,Human,0.30379747
CR2,Homo-Pan,0.107010731
CR2,Haplorhine,0.450769738
CR2,Primate,1
CR2,Great Ape,1
CR2,Human,1
CRABP1,Haplorhine,1
CRABP1,Primate,1
CRABP1,Human,1
CRABP2,Haplorhine,1
CRABP2,Primate,1
CRABP2,Great Ape,1
CRABP2,Human,1
CRACR2A,Haplorhine,1
CRACR2A,Primate,1
CRACR2A,Great Ape,0.438479896
CRACR2A,Human,1
CRACR2B,Haplorhine,1
CRACR2B,Primate,1
CRACR2B,Great Ape,1
CRACR2B,Human,0.126380596
CRADD,Haplorhine,1
CRADD,Primate,0.162527632
CRADD,Great Ape,0.305740103
CRADD,Human,0.301401249
CRAMP1,Homo-Pan,1
CRAMP1,Haplorhine,1
CRAMP1,Primate,1
CRAMP1,Great Ape,1
CRAMP1,Human,1
CRAT,Haplorhine,1
CRAT,Primate,1
CRAT,Great Ape,1
CRAT,Human,1
CRB1,Homo-Pan,1
CRB1,Haplorhine,1
CRB1,Primate,1
CRB1,Great Ape,1
CRB1,Human,1
CRB2,Homo-Pan,1
CRB2,Haplorhine,1
CRB2,Primate,1
CRB2,Great Ape,0.305970959
CRB2,Human,1
CRB3,Haplorhine,1
CRB3,Primate,1
CRB3,Great Ape,0.477210003
CRB3,Human,1
CRBN,Homo-Pan,1
CRBN,Haplorhine,1
CRBN,Primate,1
CRBN,Great Ape,1
CRBN,Human,1
CRCP,Haplorhine,1
CRCP,Primate,1
CRCP,Great Ape,1
CRCP,Human,1
CRCT1,Homo-Pan,1
CRCT1,Haplorhine,1
CRCT1,Primate,0.442586766
CRCT1,Great Ape,1
CRCT1,Human,0.339984524
CREB1,Primate,1
CREB1,Primate,1
CREB1,Primate,1
CREB1,Human,1
CREB3,Haplorhine,0.402828645
CREB3,Primate,1
CREB3,Great Ape,0.193466688
CREB3,Human,0.285695236
CREB3L1,Homo-Pan,0.28350945
CREB3L1,Haplorhine,1
CREB3L1,Primate,1
CREB3L1,Great Ape,1
CREB3L1,Human,1
CREB3L2,Homo-Pan,1
CREB3L2,Haplorhine,1
CREB3L2,Primate,1
CREB3L2,Great Ape,1
CREB3L2,Human,0.479114041
CREB3L3,Homo-Pan,1
CREB3L3,Haplorhine,1
CREB3L3,Primate,1
CREB3L3,Great Ape,0.491203854
CREB3L3,Human,1
CREB3L4,Haplorhine,1
CREB3L4,Primate,0.366800295
CREB3L4,Human,0.196666523
CREB5,Homo-Pan,1
CREB5,Haplorhine,1
CREB5,Primate,1
CREB5,Great Ape,1
CREB5,Human,1
CREBBP,Homo-Pan,1
CREBBP,Haplorhine,1
CREBBP,Primate,1
CREBBP,Great Ape,1
CREBBP,Human,1
CREBL2,Primate,1
CREBL2,Human,1
CREBRF,Haplorhine,1
CREBRF,Primate,1
CREBRF,Human,1
CREBZF,Haplorhine,1
CREBZF,Primate,1
CREBZF,Great Ape,1
CREBZF,Human,1
CREG1,Primate,1
CREG1,Human,1
CREG2,Homo-Pan,0.314610748
CREG2,Haplorhine,0.376736541
CREG2,Primate,1
CREG2,Human,0.376960949
CRELD1,Homo-Pan,1
CRELD1,Haplorhine,1
CRELD1,Primate,1
CRELD1,Great Ape,1
CRELD1,Human,1
CRELD2,Homo-Pan,1
CRELD2,Haplorhine,1
CRELD2,Primate,1
CRELD2,Great Ape,1
CRELD2,Human,1
CREM,Homo-Pan,1
CREM,Haplorhine,1
CREM,Primate,1
CREM,Great Ape,0.309214316
CREM,Human,1
CRH,Homo-Pan,1
CRH,Haplorhine,1
CRH,Primate,1
CRH,Human,1
CRHBP,Haplorhine,1
CRHBP,Primate,1
CRHBP,Great Ape,0.323892349
CRHBP,Human,1
CRHR1,Homo-Pan,1
CRHR1,Haplorhine,1
CRHR1,Primate,1
CRHR1,Human,1
CRHR2,Homo-Pan,1
CRHR2,Haplorhine,1
CRHR2,Primate,1
CRHR2,Great Ape,1
CRHR2,Human,1
CRIM1,Homo-Pan,0.300816105
CRIM1,Haplorhine,1
CRIM1,Primate,1
CRIM1,Great Ape,1
CRIM1,Human,1
CRIP1,Great Ape,1
CRIP1,Haplorhine,1
CRIP1,Human,1
CRIP2,Haplorhine,1
CRIP2,Primate,1
CRIP2,Human,1
CRIP3,Haplorhine,1
CRIP3,Primate,1
CRIP3,Great Ape,1
CRIP3,Human,1
CRIPT,Primate,1
CRIPT,Human,1
CRISP1,Homo-Pan,1
CRISP1,Haplorhine,0.030928529
CRISP1,Primate,1
CRISP1,Great Ape,1
CRISP1,Human,1
CRISP2,Primate,1.85947110042384e-05
CRISP2,Haplorhine,1
CRISP2,Great Ape,1
CRISP2,Human,1
CRISP3,Homo-Pan,1
CRISP3,Primate,1
CRISP3,Haplorhine,0.270641746
CRISP3,Great Ape,0.000122947
CRISP3,Human,1
CRISPLD1,Haplorhine,1
CRISPLD1,Primate,1
CRISPLD1,Great Ape,1
CRISPLD1,Human,0.217581225
CRISPLD2,Homo-Pan,1
CRISPLD2,Haplorhine,1
CRISPLD2,Primate,1
CRISPLD2,Great Ape,1
CRISPLD2,Human,1
CRK,Primate,1
CRK,Human,1
CRKL,Haplorhine,1
CRKL,Primate,1
CRKL,Great Ape,1
CRKL,Human,1
CRLF1,Primate,1
CRLF1,Haplorhine,1
CRLF1,Homo-Pan,1
CRLF1,Human,1
CRLF3,Haplorhine,0.341873923
CRLF3,Primate,1
CRLF3,Great Ape,1
CRLF3,Human,1
CRLS1,Haplorhine,1
CRLS1,Primate,1
CRLS1,Great Ape,1
CRLS1,Human,1
CRMP1,Haplorhine,1
CRMP1,Primate,1
CRMP1,Great Ape,1
CRMP1,Human,1
CRNKL1,Haplorhine,1
CRNKL1,Primate,1
CRNKL1,Great Ape,1
CRNKL1,Human,1
CRNN,Homo-Pan,0.12956263
CRNN,Haplorhine,0.105114403
CRNN,Primate,1
CRNN,Great Ape,0.456695419
CRNN,Human,1
CROCC,Homo-Pan,1
CROCC,Haplorhine,1
CROCC,Primate,1
CROCC,Great Ape,1
CROCC,Human,1
CROCC2,Homo-Pan,1
CROCC2,Haplorhine,1
CROCC2,Primate,1
CROCC2,Great Ape,1
CROCC2,Human,1
CROT,Homo-Pan,1
CROT,Haplorhine,1
CROT,Primate,1
CROT,Great Ape,1
CROT,Human,1
CRP,Primate,1
CRP,Haplorhine,1
CRP,Human,1
CRPPA,Homo-Pan,1
CRPPA,Haplorhine,1
CRPPA,Primate,1
CRPPA,Great Ape,1
CRPPA,Human,1
CRTAC1,Haplorhine,0.5
CRTAC1,Primate,1
CRTAC1,Great Ape,1
CRTAC1,Human,1
CRTAM,Homo-Pan,1
CRTAM,Haplorhine,0.418510267
CRTAM,Primate,1
CRTAM,Great Ape,0.374089417
CRTAM,Human,1
CRTAP,Homo-Pan,1
CRTAP,Haplorhine,1
CRTAP,Primate,1
CRTAP,Human,1
CRTC1,Primate,1
CRTC1,Haplorhine,1
CRTC1,Homo-Pan,1
CRTC1,Human,1
CRTC2,Homo-Pan,0.282705822
CRTC2,Haplorhine,0.422805527
CRTC2,Primate,1
CRTC2,Great Ape,1
CRTC2,Human,1
CRTC3,Haplorhine,1
CRTC3,Primate,1
CRTC3,Great Ape,1
CRTC3,Human,1
CRX,Great Ape,1
CRX,Primate,1
CRX,Homo-Pan,1
CRX,Haplorhine,1
CRX,Human,1
CRY1,Haplorhine,1
CRY1,Primate,1
CRY1,Great Ape,1
CRY1,Human,1
CRY2,Homo-Pan,1
CRY2,Haplorhine,1
CRY2,Primate,1
CRY2,Great Ape,1
CRY2,Human,1
CRYAA,Primate,0.141415374
CRYAA,Haplorhine,1
CRYAA,Great Ape,1
CRYAA,Human,1
CRYAB,Primate,1
CRYAB,Primate,1
CRYAB,Human,0
CRYBA1,Haplorhine,1
CRYBA1,Primate,1
CRYBA1,Great Ape,0.311451775
CRYBA1,Human,1
CRYBA2,Haplorhine,1
CRYBA2,Primate,1
CRYBA2,Human,0.329891949
CRYBA4,Haplorhine,0.484312827
CRYBA4,Primate,1
CRYBA4,Human,1
CRYBB1,Primate,1
CRYBB1,Primate,1
CRYBB1,Primate,1
CRYBB1,Human,1
CRYBB2,Haplorhine,1
CRYBB2,Primate,1
CRYBB2,Great Ape,1
CRYBB2,Human,1
CRYBB3,Primate,1
CRYBB3,Primate,1
CRYBB3,Human,0.435247232
CRYBG1,Homo-Pan,1
CRYBG1,Haplorhine,1
CRYBG1,Primate,1
CRYBG1,Great Ape,1
CRYBG1,Human,1
CRYBG2,Homo-Pan,1
CRYBG2,Haplorhine,1
CRYBG2,Primate,1
CRYBG2,Great Ape,1
CRYBG2,Human,1
CRYBG3,Homo-Pan,1
CRYBG3,Haplorhine,0.414481062
CRYBG3,Primate,1
CRYBG3,Great Ape,0.485381083
CRYBG3,Human,0.483558484
CRYGA,Haplorhine,0.349022293
CRYGA,Primate,1
CRYGA,Great Ape,1
CRYGA,Human,1
CRYGB,Haplorhine,0.410135422
CRYGB,Primate,1
CRYGB,Great Ape,1
CRYGB,Human,1
CRYGC,Haplorhine,1
CRYGC,Primate,1
CRYGC,Human,0.341623098
CRYGD,Primate,1
CRYGD,Haplorhine,1
CRYGD,Great Ape,1
CRYGD,Human,1
CRYGN,Haplorhine,1
CRYGN,Primate,1
CRYGN,Great Ape,1
CRYGN,Human,1
CRYGS,Haplorhine,1
CRYGS,Primate,0.338738584
CRYGS,Great Ape,1
CRYGS,Human,1
CRYL1,Homo-Pan,0.312681726
CRYL1,Haplorhine,1
CRYL1,Primate,1
CRYL1,Human,1
CRYM,Haplorhine,0.385326385
CRYM,Primate,1
CRYM,Great Ape,1
